person_id,full_name,title,company_name,decision,priority,reason,recommended_message_angle
971735404aae,Dani Rutman,Head of Integrated Healthcare Experience,Medibank,PASS,1,Head of Integrated Healthcare Experience at Medibank — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
9e93f3a533b8,James Taylor,Chief Product Officer,Mosh,PASS,1,Chief Product Officer at Mosh — product leadership owns digital health tool strategy.,digital-transformation
a2ee480b97d8,Shona Sundaraj,Group Medical Director,Medibank,PASS,1,Group Medical Director at Medibank — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
2df40423be25,Emma Harrington,Chief of - Member Experience,HCF Australia,PASS,1,Chief of - Member Experience at HCF Australia — member/customer experience leader; FitXpress plugs into member engagement and retention KPIs.,member-engagement
3b7af242de21,Merryn Olifent,Head of Customer Insights and Experience Design,Medibank,PASS,1,Head of Customer Insights and Experience Design at Medibank — customer experience leader; FitXpress value prop maps to member engagement KPIs.,member-engagement
fb142712a5e2,Jean Jacobs,Head of Health Insights,Bupa Australia,PASS,1,Head of Health Insights at Bupa Australia — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
36039de86641,David Lumb,"Chief Officer, Member Growth",HCF Australia,PASS,1,"Chief Officer, Member Growth at HCF Australia — member/customer experience leader; FitXpress plugs into member engagement and retention KPIs.",member-engagement
98b1e420e53c,Milosh Milisavljevic,Group Lead - Chief Customer Officer,Medibank,PASS,1,Group Lead - Chief Customer Officer at Medibank — member/customer experience leader; FitXpress plugs into member engagement and retention KPIs.,member-engagement
5f59d9c40771,Aarti Olsson,Head of Health Advisory,Medibank,PASS,1,Head of Health Advisory at Medibank — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
534333ea7731,Lucy Chen,Head of Healthcare Programs,Bupa Australia,PASS,1,Head of Healthcare Programs at Bupa Australia — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
72b0202effca,Dr Jonathan Brown,Medical Director - BUPA Medical,Bupa Australia,PASS,1,Medical Director - BUPA Medical at Bupa Australia — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
4e210cfe4699,Michelle Karolik,Head of Customer Engagement,Bupa Australia,PASS,1,Head of Customer Engagement at Bupa Australia — customer experience leader; FitXpress value prop maps to member engagement KPIs.,member-engagement
2f02c2bf2d5f,Andrew Wilkinson,"Director, Domestic Portfolio APAC (aka Chief Customer Officer)",Bupa Australia,PASS,1,"Director, Domestic Portfolio APAC (aka Chief Customer Officer) at Bupa Australia — member/customer experience leader; FitXpress plugs into member engagement and retention KPIs.",member-engagement
998a96079bfc,Linda Opie,Head of Health and Wellbeing,HCF Australia,PASS,1,Head of Health and Wellbeing at HCF Australia — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
517ab8304268,Pauline Smyth,"Head of Virtual Health, Amplar Health",Medibank,PASS,1,"Head of Virtual Health, Amplar Health at Medibank — directly owns telehealth/virtual care strategy; perfect FitXpress target.",virtual-care
b0976ba55ec1,Jennifer Vo-Phuoc,Head of Health Policy,Medibank,PASS,1,Head of Health Policy at Medibank — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
1be8e15c0286,Annie M.,"Manager, Health Policy",Medibank,PASS,1,"Manager, Health Policy at Medibank — directly owns health/preventive program design; strong FitXpress fit.",preventive-health
e5033951fd68,David Koczkar,Chief Executive Officer,Medibank,PASS,1,Chief Executive Officer at Medibank — CEO/Founder at target company; ultimate decision-maker for new digital health partnerships.,preventive-health
35982697d46f,Andrew Wilson,Group Chief Medical Officer,Medibank,PASS,1,Group Chief Medical Officer at Medibank — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
c171a78bb7e1,Wael Hanna,Co-Founder,Medmate,PASS,1,Co-Founder at Medmate — CEO/Founder at target company; ultimate decision-maker for new digital health partnerships.,digital-transformation
35f2c153abf5,James McDonald,Head of Telehealth Operations,Bupa Australia,PASS,1,Head of Telehealth Operations at Bupa Australia — directly owns telehealth/virtual care strategy; perfect FitXpress target.,virtual-care
fc6c003e9041,Josh Lambert,Head of Business Development - Digital Health & Ventures,Medibank,PASS,1,Head of Business Development - Digital Health & Ventures at Medibank — directly owns telehealth/virtual care strategy; perfect FitXpress target.,virtual-care
