company_name,website,hq_country,app_first,cash_pay_glp1,branded_mobile_app,branded_web_app,glp1_medications,subscription_model,coaching_behaviour_support,notes,verification,source_url,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at
Juniper,https://www.myjuniper.co.uk/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro,Yes,Yes (health coaching + behaviour change),Digital weight loss programme with clinician-led care,verified-live,https://www.myjuniper.co.uk/,200,Medical Weight Loss Programme & Coaching | Juniper UK,none-on-homepage,per month; monthly; subscription; cancel anytime,United Kingdom; London; Australia,Company Number 13901454,2026-09-02T16:38:55Z
Second Nature,https://www.secondnature.io/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro,Yes,Yes (dietitian-led behaviour change),NHS partner since 2017; structured habit support,verified-live,https://www.secondnature.io/de,200,Weight loss medication with clinical support | Second Nature,ios+android,plan,United Kingdom; London; USA,Registration No: 08511152,2026-09-02T16:38:55Z
Voy,https://www.joinvoy.com/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro/Saxenda,Yes,Yes (coaching + behaviour),Launched 2024 as Manual expansion; >100k members,blocked:js-challenge,https://www.joinvoy.com/,429,Vercel Security Checkpoint,,,,,2026-09-02T16:38:55Z
Numan,https://www.numan.com/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro/Saxenda,Yes,Yes (coaching),Founded 2018; men's health origin; $60M funding 2025,verified-live,https://www.numan.com/,200,Numan | Weight Loss | Blood Tests | Erectile Dysfunction | Hair Loss,ios+android,,England; London,"Registered office Floor 4, Farringdon Point, 33 Farringdon Road, London, England, EC1M 3JF",2026-09-02T16:38:55Z
Piko,https://www.piko.com/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro,Yes,Yes (deep health testing + community),Daily app support; weight loss guarantee,verified-live,https://www.piko.com/,200,Piko Health | Personalized Digital Healthcare,none-on-homepage,plan,USA,,2026-09-02T16:38:55Z
CheqUp,https://chequp.com/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro/Foundayo,Yes,Yes (unlimited 1:1 health coaching),WeightWatchers UK partner; from £109/month,verified-live,https://chequp.com/,200,Medical Weight Loss Programme UK | Clinician-Led | From £109,none-on-homepage,subscription; plan,,,2026-09-02T16:38:55Z
NowPatient,https://nowpatient.com/,England,Yes,Yes,Yes (iOS/Android),Yes,Mounjaro/Wegovy/Saxenda/Foundayo,Yes,Yes (AI health + coaching),Prescriptions + telehealth + AI health,verified-live,https://nowpatient.com/,200,"Rx Savings, Telehealth Treatments & AI Health | NowPatient",none-on-homepage,per month; monthly; billed monthly; plan,United Kingdom; England; London; Scotland,registration number 1036487,2026-09-02T16:38:56Z
Hims & Hers UK,https://www.forhers.co.uk/,England (US parent),Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro,Yes,Yes (personal plan + ongoing care),Launched UK Dec 2025; US public company,verified-live,https://www.forhers.co.uk/,200,Weight Loss Treatments for Women | Hers UK | hers,none-on-homepage,a month; plan,London,,2026-09-02T16:38:56Z
ZAVA,https://www.zavamed.com/uk/,England,Yes,Yes,No dedicated app (web-first),Yes,Wegovy/Mounjaro/Nevolat/Foundayo,No (per prescription),Basic (clinical review only),Established 2010; no subscription model,verified-live,https://www.zavamed.com/uk/,200,ZAVA Online Doctor – Weight Loss & Prescription Treatments | ZAVA UK,none-on-homepage,subscription,London; Germany,Company no. 07392646,2026-09-02T16:38:56Z
Simple Online Pharmacy,https://www.simpleonlinepharmacy.co.uk/,England,Yes,Yes,Yes (renu app iOS),Yes,Wegovy/Mounjaro/Saxenda/Orlistat,Yes (Subscribe & Save),Basic (pharmacist support),>1M UK patients; renu app for weight loss,verified-live,https://www.simpleonlinepharmacy.co.uk/,200,Simple Online Pharmacy | UK Trusted Online Pharmacy,none-on-homepage,,,"Registered Office: 77 Dunn Street, Glasgow, G40 3PA Pharmacy GPhC registration number: 9011287 © 2026 Simple Online Pharmacy",2026-09-02T16:38:56Z
