company_name,website,fit_score
Zoe,https://joinzoe.com,5
Vira Health (Stella),https://www.onstella.com,4
Peppy Health,https://www.peppy.health,4
Newson Health Group (incl. Balance app),https://www.newsonhealth.co.uk,4
Healthier Weight,https://www.healthierweight.co.uk,4
Tonic Weight Loss Surgery,https://tonicweightlosssurgery.co.uk,3
Fiit,https://fiit.tv,3
Flo Health,https://flo.health,3
The Body Coach App (Joe Wicks Ltd),https://www.thebodycoach.com,3
Huma Therapeutics,https://www.huma.com,2
Hertility Health,https://www.hertilityhealth.com,2
Physitrack Plc (incl. Champion Health),https://www.physitrack.com,2
Thriva,https://thriva.co,2
Sweatcoin,https://sweatco.in,1
Slimming World,https://www.slimmingworld.co.uk,1
