Rank,Company,Primary Focus,Why 3DLOOK FitXpress Is a Strong Fit
11,Laguna Health,"AI-powered care-management platform for post-acute and chronic-condition care, used by health plans",FitXpress body-composition data could enrich Laguna's care-management dashboards for weight-related chronic conditions.
12,Datos Health,Israeli remote patient-monitoring platform connecting devices and patients to care teams,FitXpress could be added as a connected device within Datos's remote-monitoring ecosystem for weight and metabolic-disease programs.
13,Biobeat,Israeli wearable vital-signs monitoring company for hospitals and remote care,FitXpress's body-composition data could complement Biobeat's continuous vitals monitoring for a fuller remote-patient picture.
14,CardiacSense,Israeli wearable company for continuous cardiac and vitals monitoring,A body-composition layer from FitXpress could extend CardiacSense's cardiometabolic monitoring use cases for at-risk patients.
15,SHL Telemedicine,"Publicly traded Israeli telemedicine company providing ECG and home-care monitoring, with centers in Israel and Germany",FitXpress could be added to SHL's home-care monitoring suite as a body-composition and weight-trend module.
16,Sheba Medical Center / ARC Innovation,Israel's largest hospital and a leading digital-health innovation and pilot hub,"FitXpress could be piloted through Sheba ARC's innovation programs for obesity, bariatric and metabolic-disease research collaborations."
17,Ichilov (Tel Aviv Sourasky Medical Center),Major Israeli teaching hospital actively adopting digital health solutions to streamline patient care,"FitXpress could be introduced as a pilot tool in Ichilov's obesity, endocrinology or bariatric-surgery departments."
18,Harel Insurance,"One of Israel's largest insurance groups, offering health and wellness benefit programs",FitXpress data could support a body-composition-linked wellness benefit or incentive feature within Harel's health insurance products.
19,Migdal Insurance,Major Israeli insurer with health and life insurance wellness programs,FitXpress could be positioned as a value-add wellness benefit for Migdal's health-insurance policyholders.
20,Phoenix Holdings,Large Israeli insurance and financial-services group with a growing health-insurance and wellness arm,FitXpress could support a digital wellness or chronic-disease-prevention benefit within Phoenix's health offerings.
