Name,Current Title,Company,Company URL,What the Company Does,Why 3DLOOK FitXpress Is a Strong Fit
"Robert Klempfner, MD",Director of the Cardiac Rehabilitation Institute,Sheba - Tel HaShomer Hospital,https://www.shebaonline.org,"Israel's largest hospital and one of the world's leading academic medical centers, providing advanced specialty care, research, and digital health innovation.","FitXpress can support cardiac rehabilitation and metabolic health programs with standardized body measurements, body composition, and longitudinal patient progress tracking."
Avner Halperin,"CEO, Sheba Impact",Sheba Tel HaShomer City of Health,https://shebaimpact.com,Sheba Impact commercializes and scales healthcare innovation developed within Sheba Medical Center through partnerships with startups and health systems worldwide.,FitXpress aligns with Sheba Impact's mission to bring innovative digital health solutions to market and expand remote patient monitoring capabilities.
"Ayelet Akselrod-Ballin, PhD","Head & CTO, AI Center","Sheba Medical Center, Tel Hashomer",https://www.shebaonline.org,"Leading AI research center focused on applying artificial intelligence to improve clinical workflows, diagnostics, and patient care.",FitXpress produces structured body data that can enrich AI-driven predictive models and remote patient assessment initiatives.
Alon Agmon,"Director of R&D, ARC AI Center","Sheba Medical Center, Tel Hashomer",https://arcinnovation.org,"ARC is Sheba's global innovation ecosystem connecting hospitals, startups, technology companies, and investors to accelerate healthcare innovation.","FitXpress can become part of ARC's portfolio of validated digital health technologies for obesity, metabolic care, and remote monitoring."
Sharon Dayan,VP Marketing,Biobeat,https://www.bio-beat.com,"Biobeat develops wearable, cuffless remote patient monitoring devices measuring vital signs continuously.",FitXpress complements Biobeat by adding visual body measurements and body composition to existing physiological monitoring data.
Motti Vaknin,Investor & Board Member,Datos Health,https://datos-health.com,Datos Health provides remote care orchestration and virtual care management platforms for hospitals and healthcare providers.,FitXpress can integrate into Datos Health's remote care platform as a body scanning and progress tracking component for obesity and chronic disease programs.
Asaf Cohen,Head of CMC - RNA Program,"Sheba Medical Center, Tel Hashomer",https://www.shebaonline.org,Academic medical center conducting advanced translational research and precision medicine programs.,FitXpress could support future clinical research requiring standardized anthropometric measurements and longitudinal patient outcome tracking.
Ronnie Lavi Perl,VP Marketing,Datos Health,https://datos-health.com,Digital platform enabling hospitals to build and manage virtual care pathways for chronic conditions and remote monitoring.,FitXpress expands Datos Health's value proposition by adding objective body composition and visual progress tracking to virtual care programs.
Idan Tamir,VP Corporate Development,Harel Insurance & Finance,https://www.harel-group.co.il,"Israel's largest insurance and healthcare services provider offering health insurance, wellness programs, and digital healthcare investments.","FitXpress can enhance preventive health, wellness, and obesity management offerings across Harel's healthcare ecosystem and innovation initiatives."
Paz Gantovski,Director of Global Medical Initiatives,"Sheba Medical Center, Tel Hashomer",https://www.shebaonline.org,Global partnerships division responsible for international healthcare collaborations and innovation programs.,FitXpress can be introduced through international pilot programs focused on digital obesity management and remote patient monitoring.
"Eyal Zimlichman, MD","Chief Transformation, Innovation & AI Officer",Sheba Tel HaShomer City of Health,https://www.shebaonline.org,"Leads Sheba's digital transformation, AI strategy, virtual care, and innovation ecosystem.","One of the strongest strategic buyers for FitXpress due to direct responsibility for digital transformation, AI adoption, and virtual care innovation."
Avi Hasson,Board Member,Sheba - Tel HaShomer Hospital,https://www.shebaonline.org,Governing board supporting strategic growth and innovation initiatives across Sheba Medical Center.,Could champion strategic partnerships that strengthen Sheba's leadership in digital obesity and remote care innovation.
Omri Hayet,Chief Operating Officer,Datos Health,https://datos-health.com,Remote care platform helping health systems manage virtual care pathways and patient engagement.,FitXpress can become an integrated body assessment module within Datos Health's remote care workflows for obesity and chronic disease management.
Yossi Graff,Vice President of Business Development,SHL Telemedicine,https://www.shl-telemedicine.com,SHL Telemedicine delivers remote patient monitoring and telehealth services for healthcare providers worldwide.,FitXpress extends SHL's monitoring capabilities with smartphone-based body scanning and visual progress tracking for chronic disease management.
Ayelet Geva,"Director of Innovation & Business Development, ARC","Sheba Medical Center, Tel Hashomer",https://arcinnovation.org,Leads innovation partnerships within Sheba's ARC ecosystem connecting startups with healthcare providers.,Excellent partnership target for piloting FitXpress within ARC's digital health innovation network.
Natan Lubman,Head of Algorithms,CardiacSense,https://www.cardiacsense.com,CardiacSense develops AI-powered wearable devices for continuous cardiovascular monitoring.,FitXpress complements CardiacSense's physiological monitoring with body composition and obesity-related health metrics.
Eyal Copitt,Chief Commercial Officer,CardiacSense,https://www.cardiacsense.com,Commercial leader responsible for global partnerships and growth of CardiacSense's wearable health technology.,Strong commercial partner for bundling wearable monitoring with smartphone body scanning and remote patient assessment.
Sagi Ohayon,VP Product – AI.DOO,Harel Insurance & Finance,https://www.harel-group.co.il,Leads AI-driven digital product development within Harel's insurance and healthcare innovation initiatives.,"FitXpress could become part of AI-powered wellness, preventive health, and insurance engagement products targeting obesity and chronic disease management."
Haim Senior,Director of End User Computing Infrastructure,Harel Insurance & Finance,https://www.harel-group.co.il,"Israel's largest insurance and healthcare services provider offering health insurance, digital health solutions, and wellness programs.",IT infrastructure leader who could influence enterprise technology adoption if Harel evaluates FitXpress for digital health initiatives.
Noi Haim,"Clinical Research Coordinator, Oncology Unit",Sheba Medical Center,https://www.shebaonline.org,Israel's leading academic medical center with extensive clinical research and digital health innovation.,Could support clinical studies or pilot programs using FitXpress for patient monitoring and research outcomes.
Prof. Moti Schneider,"Professor, Artificial Intelligence",Netanya Academic College,https://www.netanya.ac.il,"Academic institution focused on technology, AI, and computer science research.","Low sales priority. Could be valuable only for AI research collaborations, not as a buyer."
