person_id,full_name,first_name,last_name,title,seniority,company_name,company_linkedin_url,person_linkedin_url,email_guess,location_country,location_city,years_in_role,profile_summary
64a317985f5f,Jennifer Koster,Jennifer,Koster,"Director, Content Design",Director,MyFitnessPal,https://www.linkedin.com/company/myfitnesspal,https://www.linkedin.com/in/jenniferkoster,,United States,,,"Content Design Director @ MyFitnessPal, UX Design Leader | I’m an empathetic writer and creative problem solver who cares deeply for details. After 15+ years tackling complex content challenges in healthcare, finance, education, and retail, I’m using strategic thinking, process prowess, and word wizardry to build better product experiences through user-centered content. My happy place is a mission-and-values driven org that knows great content cures headaches, creates joy, and takes time—and inv"
728424539fcc,Olivia Carlson,Olivia,Carlson,Vice President of Customer Happiness,C-Level,MyFitnessPal,https://www.linkedin.com/company/myfitnesspal,https://www.linkedin.com/in/oaktownolivia,,United States,,,"Vice President of Customer Happiness | Leading customer-driven innovation.\rBuilding and managing online communities.\rEstablishing peer-to-peer customer support. \rManaging highly effective, revenue generating, world class customer support teams.\rGrowing organizational capacity.\rLeading cultural change.\rBuilding teams and developing group effectiveness.\rThriving in a start-up environment."
545e9cd7a6d5,Linda Sollars,Linda,Sollars,Principal,Individual,NOISE: Calibrate Aero,,https://www.linkedin.com/in/linda-sollars-9303507,,United States,,,"Aviation Consultant  International Speaker  Retired Airbus Captain | After enjoying a career in financial services, I turned my hobby, flying airplanes, into a career. I have been fortunate to enjoy both Leadership and Pilot positions in the airline industry and currently fly for a major airline. I am enjoy flying Airbus airplanes for a major airline, and consult in the field of System Safety (process improvement focus on safety) and NextGen (the next generation of aviation technology). \r\rI re"
668f3fb8c406,Jenna Lafayette,Jenna,Lafayette,Regional Vice President - Healthcare,C-Level,Personify Health,https://www.linkedin.com/company/personify-health,https://www.linkedin.com/in/jenna-lafayette-7313227,,United States,,,Regional Vice President - Healthcare
fe982edf9500,Mehran M.,Mehran,M.,Chief Information Officer,C-Level,Personify Health,https://www.linkedin.com/company/personify-health,https://www.linkedin.com/in/mehranmt,,United States,,,"CIO at Personify Health | Driving Technology Strategy, AI Enablement & Governance | CISSP, CCSP | Over thirty years in technology, and I still get more excited by a well-solved problem than a well-worded strategy deck.I'm CIO at Personify Health, where I lead technology operations and I'm building out how we govern and adopt AI across the organization — not the flashy demo kind, the ""does this actually make people's work better and hold up under scrutiny"" kind. My background spans cloud, archite"
fae5e0113f53,Mai Irie,Mai,Irie,Senior Engineering Manager,Manager,MyFitnessPal,https://www.linkedin.com/company/myfitnesspal,https://www.linkedin.com/in/mirie,,United States,,,Strategic Engineering Leader
988638393b82,Marc Levesque,Marc,Levesque,Logistics Manager,Manager,NOISE: Giant Tiger,https://www.linkedin.com/company/giant-tiger,https://www.linkedin.com/in/marc-levesque-7773567,,Canada,,,"Logistics Manager - Supply Chain @ Giant Tiger | Helping Canadians save more every day. | Experienced Director of Operations / Sales with a demonstrated history of working in the logistics and supply chain industry. Skilled in Negotiation, Operations Management, Customer Service, Freight, and Business Development. Strong information technology professional graduated from Vanier College."
a8b2bbc98700,Kathleen White,Kathleen,White,Director of Marketing,Director,iFIT,https://www.linkedin.com/company/ifit---fitness-technology,https://www.linkedin.com/in/kathleen-white-a92a597,,United States,,,"Director of Marketing at FreeMotion Fitness | The Director sets the global marketing direction for this commercial fitness equipment company. From the formulation of the brand identity to the visual image and “feel” conveyed in product literature, tradeshows and training videos, the Director unifies the FreeMotion Fitness representation and theme in all forms of visual communication and training."
27a375113f8d,Kelly Roelofs,Kelly,Roelofs,"Director, Client Success",Director,Personify Health,https://www.linkedin.com/company/personify-health,https://www.linkedin.com/in/kelly-roelofs-608a7b7,,United States,,,"Director, Client Success at Personify Health | Focused and results-oriented account management, customer support, and project management professional with strong qualifications to perform diverse functions in different businesses/industries. Proven success in executing account strategies, developing business relationships, implementing solutions/products, and delivering revenue and profit gains within major accounts. Fully utilize interpersonal, communication, and consultative sales skills to bu"
c86524660c76,Michael L Nickleson,Michael L,Nickleson,Facility Operations Department Head,Individual,NOISE: Lifetime Fitness,,https://www.linkedin.com/in/michael-l-nickleson-a463937,,United States,,,Facility Operations Department Head at Lifetime Fitness
