first_name,last_name,job_title,company,company_url,location,linkedin_url,tier,icp_fit,icp_segment,buyer_role,reason
Ilan,Marcuschamer,Director of Cardiac rehabilitation center,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Petah Tikva, Center District, Israel",https://il.linkedin.com/in/ilan-marcuschamer-b861782a,1,moderate,HMO digital health,Influencer,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Influencer
Avigail,Orgad,Director of Global Supply Chain,TytoCare,https://www.linkedin.com/company/tytocare-ltd/,Israel,https://il.linkedin.com/in/avigail-orgad-3a927448,1,moderate,telehealth,Influencer,Tier 1 company: TytoCare | Segment: telehealth | Role: Influencer
Tamir,Gotfried,Chief Business & Strategy Officer,TytoCare,https://www.linkedin.com/company/tytocare-ltd/,"Ramat HaSharon, Tel Aviv District, Israel",https://il.linkedin.com/in/tamirgotfried,1,strong,telehealth,Decision maker,Tier 1 company: TytoCare | Segment: telehealth | Role: Decision maker
Yael,Shaham,Board Member,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,Israel,https://il.linkedin.com/in/yael-ben-atar-8aba53228,1,moderate,HMO digital health,Champion,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Champion
Karin,Zeevi,Head Of Marketing,Leumit Health Services,https://www.linkedin.com/company/leumit-health-fund/,"Tel Aviv District, Israel",https://il.linkedin.com/in/karin-zeevi-herzka-14362216a,1,moderate,HMO digital health,Champion,Tier 1 company: Leumit Health Services | Segment: HMO digital health | Role: Champion
Ran,Balicer,Deputy Director General and Head of the Innovation Division,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Tel Aviv District, Israel",https://il.linkedin.com/in/ranbalicer,1,strong,HMO digital health,Decision maker,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Decision maker
Anat,Lichtig,Deputy CEO head of marketing and customer care division,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,Israel,https://il.linkedin.com/in/anat-lichtig-achiaz-97656428,1,strong,HMO digital health,Decision maker,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Decision maker
Yifat,Godiner,Board Member,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Center District, Israel",https://il.linkedin.com/in/yifatgodiner,1,moderate,HMO digital health,Champion,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Champion
Etti,Rosenberg,"Founder & Director, IOSMC Method",Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/in/etti-rosenberg-78917b60,1,strong,HMO digital health,Decision maker,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Decision maker
Ariel,Braverman,Occupational Health - Director of Nursing,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Rosh HaAyin, Center District, Israel",https://il.linkedin.com/in/arielbraverman,1,moderate,HMO digital health,Influencer,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Influencer
Michael,Kegen,Director of Demand Gen,TytoCare,https://www.linkedin.com/company/tytocare-ltd/,"Tel Aviv District, Israel",https://il.linkedin.com/in/michaelkegen,1,moderate,telehealth,Influencer,Tier 1 company: TytoCare | Segment: telehealth | Role: Influencer
Sigal,Dadon,Chief Executive Officer,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/in/sigal-dadon-levi-23205b1bb,1,strong,HMO digital health,Decision maker,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Decision maker
Roni,Antman,"OCIO Director, Head of IT Projects department",Meuhedet Health Services - מאוחדת,https://www.linkedin.com/company/meuhedet/,Israel,https://il.linkedin.com/in/roni-antman-765ab156,1,moderate,HMO digital health,Influencer,Tier 1 company: Meuhedet Health Services | Segment: HMO digital health | Role: Influencer
Yaron,Sheffer,Head of Strategy& business development,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,Israel,https://il.linkedin.com/in/yaron-sheffer-468067114,1,strong,HMO digital health,Champion,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Champion
Eyal,Reinstein,Director of Genetics,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,"Tel Aviv District, Israel",https://il.linkedin.com/in/eyal-reinstein-34055538,1,moderate,HMO digital health,Influencer,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Influencer
Shany,Chinsky,Head of Marketing,TytoCare,https://www.linkedin.com/company/tytocare-ltd/,"Ramat HaSharon, Tel Aviv District, Israel",https://il.linkedin.com/in/shany-chinsky-dembak-9a761ba,1,moderate,telehealth,Champion,Tier 1 company: TytoCare | Segment: telehealth | Role: Champion
Yaniv,Ovadia,Head of Technologies and Imaging,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,Israel,https://il.linkedin.com/in/yaniv-ovadia,1,moderate,HMO digital health,Influencer,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Influencer
Omer,Rosenblum,Head of Medical Education,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,Israel,https://il.linkedin.com/in/omer-rosenblum-md-52033030,1,moderate,HMO digital health,Influencer,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Influencer
Irit,Singer,Board Member,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Tel Aviv District, Israel",https://il.linkedin.com/in/irit-singer,1,moderate,HMO digital health,Champion,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Champion
Ran,Zahor,CTO | Technology Division Manager,Leumit Health Services,https://www.linkedin.com/company/leumit-health-fund/,Israel,https://il.linkedin.com/in/adam-arutz-30314079,1,strong,HMO digital health,Decision maker,Tier 1 company: Leumit Health Services | Segment: HMO digital health | Role: Decision maker
Amir,Sheinfeld,Head of Data & AI Delivery & Project Management,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,Israel,https://il.linkedin.com/in/amir-sheinfeld,1,moderate,HMO digital health,Champion,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Champion
Lea,Cohen,Chief AI Officer,Meuhedet Health Services - מאוחדת,https://www.linkedin.com/company/meuhedet/,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/in/lea-cohen-hameiri,1,strong,HMO digital health,Decision maker,Tier 1 company: Meuhedet Health Services | Segment: HMO digital health | Role: Decision maker
Yaron,Savoray,Chief Financial Officer,K Health,https://www.linkedin.com/company/17882015,Israel,https://il.linkedin.com/in/yaron-savoray-1b0147,1,strong,digital therapeutics / telehealth,Decision maker,Tier 1 company: K Health | Segment: digital therapeutics / telehealth | Role: Decision maker
Michal,G.,Head of Addiction Prevention & Treatment | Sharon District,Maccabi Health care Services,https://www.linkedin.com/company/maccabi-health-services/,"Tel Aviv District, Israel",https://il.linkedin.com/in/michalgur123,1,moderate,HMO digital health,Influencer,Tier 1 company: Maccabi Healthcare Services | Segment: HMO digital health | Role: Influencer
Rakefet,Jacoby,"CIO, VP Information Technology",Leumit Health Services,https://www.linkedin.com/company/leumit-health-fund/,Israel,https://il.linkedin.com/in/rakefet-jacoby-70a8b220,1,strong,HMO digital health,Decision maker,Tier 1 company: Leumit Health Services | Segment: HMO digital health | Role: Decision maker
Tamir,Kaplan,Head Of Operations - International Markets,K Health,https://www.linkedin.com/company/17882015,Israel,https://il.linkedin.com/in/tamir-kaplan-1192752,1,moderate,digital therapeutics / telehealth,Influencer,Tier 1 company: K Health | Segment: digital therapeutics / telehealth | Role: Influencer
Roy,"Zucker,MD",Director For LGBTQ health services,Clalit Health Services,https://www.linkedin.com/company/clalit-careers/posts/?feedView=all,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/in/drzucker,1,moderate,HMO digital health,Influencer,Tier 1 company: Clalit Health Services | Segment: HMO digital health | Role: Influencer
