#,company_name,website,hq_city,hq_country,segment,app_first,subscription_model,progress_tracking_today,icp_fit,fit_rationale,flags,verification,source_url,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at,routed_to_profile,routed_reason
3,Lose It!,https://www.loseit.com/,Boston,USA,Calorie tracking app,Yes (iOS/Android),Yes (freemium + Premium),Self-reported weight and photo logging,Exclude,US-HQ so product decisions are not reachable from a UK LinkedIn campaign,geo: route to `nick` (USA),verified-live,https://www.loseit.com/,200,Lose It! - Weight Loss That Fits,none-on-homepage,,,,2026-09-02T16:34:48Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
4,Lifesum,https://lifesum.com/,Stockholm,Sweden,Nutrition and habit app,Yes (iOS/Android),Yes (Premium),Self-reported weight and habit streaks,Exclude,Sweden-HQ so it fails the UK profile filter,geo: route to `olena` (Europe),blocked:no-title-js-shell,https://lifesum.com/,200,,,,,,2026-09-02T16:34:48Z,olena,"HQ 'Sweden' belongs to `olena`, campaign runs `katerina`"
5,MyFitnessPal,https://www.myfitnesspal.com/,San Francisco,USA,Calorie tracking app,Yes (iOS/Android),Yes (Premium),Self-reported weight and measurements,Exclude,US-HQ under Francisco Partners so the roadmap owner is not in the UK,geo: route to `nick` (USA),verified-live,https://www.myfitnesspal.com/,200,Calorie Tracker & BMR Calculator to Reach Your Goals | MyFitnessPal,ios+android,a month; monthly; subscription; per week,,,2026-09-02T16:34:48Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
7,EasyGym,https://www.easygym.co.uk/,London,England,Low-cost gym chain,Partial,Yes (monthly membership),Minimal digital tracking,Low,UK geo passes but the chain is small and the digital surface is thin,Brand licensed from easyGroup; limited product capacity,verified-live,https://www.easygym.co.uk/,200,Home - easyGym,none-on-homepage,per month; a month; monthly,England; London; USA,,2026-09-02T16:34:48Z,,fit=low — below the High/Medium bar
8,Fitness First UK,https://www.fitnessfirst.co.uk/,Unknown,England (status unclear),Health club chain,Unknown,Yes (monthly membership),Unknown,Exclude,"DW Fitness First went into administration in 2020 and most UK clubs closed or changed hands, so there may be no UK entity to sell into",viability: confirm a live UK operating company before any outreach,verified-live,https://www.fitnessfirst.co.uk/,200,"Fitness First | Gyms, PTs, and Fitness Classes",ios+android,,England; London; Manchester,"Registered office:Whelco Place Enfield Street, Industrial Estate, Pemberton, Wigan, Greater Manchester, WN5 8DB © Fitness First Ltd 2026 00 Days : 00 Hours : 00 Mins : 00 Secs E",2026-09-02T16:34:48Z,,fit=exclude — below the High/Medium bar
10,Gymbox,https://www.gymbox.com/,London,England,Boutique gym chain,Partial,Yes (monthly membership),Minimal digital tracking,Medium-Low,UK geo and a distinctive brand but roughly ten sites and a small product team,Budget likely below the entry tier,verified-live,https://gymbox.com/,200,Gymbox | 10 London Gyms. 70+ Classes. Book Your Free Trial.,none-on-homepage,per month; monthly; per week,London,,2026-09-02T16:34:49Z,,fit=medium-low — below the High/Medium bar
12,The Protein Works,https://www.theproteinworks.com/,Runcorn,England,Sports nutrition e-commerce,No,Partial (repeat purchase),None,Low,UK geo passes but there is no member programme and no progress surface to embed into,use-case: no body-measurement moment in the customer journey,blocked:js-challenge,https://www.theproteinworks.com/,403,Just a moment...,,,,,2026-09-02T16:34:49Z,,fit=low — below the High/Medium bar
13,MyProtein,https://www.myprotein.com/,Manchester,England,Sports nutrition e-commerce,Yes (Myprotein app),Partial (subscribe and save),None on body composition,Low-Medium,"Large UK-HQ digital team under THG, but the relationship is transactional rather than a tracked programme",use-case: would need a new engagement surface built around the scan,verified-live,https://www.myprotein.com/,200,Fuel Your Ambition with the No.1 Online Sports Nutrition Brand | Myprotein UK,ios+android,,,,2026-09-02T16:34:49Z,,fit=low-medium — below the High/Medium bar
14,Ritual,https://ritual.com/,Los Angeles,USA,Vitamin subscription DTC,Yes,Yes (monthly),None,Exclude,US-HQ and there is no body-measurement moment in a vitamin subscription,geo + use-case,verified-live,https://ritual.com/,200,Ritual,none-on-homepage,plan,United Kingdom; United States; USA,,2026-09-02T16:34:49Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
15,Care/of,https://takecareof.com/,New York,USA,Personalised vitamin subscription,Yes,Yes (monthly),None,Exclude,"Bayer took a majority stake in 2023 and the business wound down, so there is likely no operating company to approach",viability + geo + use-case,dead:dns-failure,https://takecareof.com/,dns-failure,,,,,,2026-09-02T16:34:49Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
