#,Company,Website,HQ,Mobile App,Web App,Subscription,Coaching,Notes
1,Juniper,https://www.myjuniper.co.uk/,London,Yes (iOS/Android),Yes,Yes,Yes (coaching + behaviour change),Clinician-led; NHS partner since 2017
2,Second Nature,https://www.secondnature.io/,London,Yes (iOS/Android),Yes,Yes,Yes (dietitian-led),NHS partner; structured habit support
3,Voy,https://www.joinvoy.com/,London,Yes (iOS/Android),Yes,Yes,Yes (coaching + behaviour),Launched 2024 as Manual expansion; >100k members
4,Numan,https://www.numan.com/,London,Yes (iOS/Android),Yes,Yes,Yes (coaching),Founded 2018; men's health origin; $60M funding 2025
5,Piko,https://www.piko.com/,London,Yes (iOS/Android),Yes,Yes,Yes (deep health testing + community),Daily app support; weight loss guarantee
6,CheqUp,https://chequp.com/,London,Yes (iOS/Android),Yes,Yes,Yes (unlimited 1:1 health coaching),WeightWatchers UK partner; from £109/month
7,NowPatient,https://nowpatient.com/,London,Yes (iOS/Android),Yes,Yes,Yes (AI health + coaching),Prescriptions + telehealth + AI health
8,Hims & Hers UK,https://www.forhers.co.uk/,London (US parent),Yes (iOS/Android),Yes,Yes,Yes (personal plan + ongoing care),Launched UK Dec 2025; US public company
9,ZAVA,https://www.zavamed.com/uk/,London,Yes (iOS/Android),Yes,Per-prescription,Basic (clinical review),Established 2010; no subscription model
10,Simple Online Pharmacy,https://www.simpleonlinepharmacy.co.uk/,London,Yes (renu app iOS),Yes,Yes (Subscribe & Save),Basic (pharmacist support),>1M UK patients; renu app for weight loss
11,Asda Online Doctor,https://onlinedoctor.asda.com/uk/,England,Partial (web-first),Yes,Per-prescription,Basic (clinical review),Operated by ZAVA/Health Bridge Ltd
12,Boots Online Doctor,https://onlinedoctor.boots.com/,England,Yes (Coach app by Liva),Yes,Per-prescription + coaching,Yes (Liva-powered coaching),UK's largest pharmacy-led; Coach app for behaviour
13,Pharmacy2U,https://www.pharmacy2u.co.uk/,England,Partial,Yes,Yes (Subscribe & Save),Basic (clinical review),CQC-registered; NHS prescription partner
