company_name,website,linkedin_url,hq_country,hq_city,employees,revenue_estimate,fit_score_1_to_5,fit_reason,source_url,notes,verification,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at
Flo Health,https://flo.health/,https://www.linkedin.com/company/flohealth,England,London,672-685 (source-conflict: PitchBook/Craft/Revelio),$157.6M ARR (2025),2,"Large UK-operated women's health app with an existing shallow weight/symptom-tracking feature, but its core retention loop is predictive cycle/health insight, not visible body-transformation, so a BodyScan feature is a stretch rather than the literal Erakulis pattern.",https://flo.health/,"Legal entity is Delaware-incorporated 'Flo Health Inc.' for investor structure; product, exec team and majority of the 670+ headcount operate from London. Confirm the UK-HQ framing before naming it in outreach.",verified-live,200,"Period tracker, ovulation tracker, pregnancy app | Flo",ios+android,monthly; subscription; plan,,,2026-09-12T06:31:53Z
Second Nature,https://www.secondnature.io/,https://uk.linkedin.com/company/besecondnature,England,London,150,Not disclosed; GBP14.8M total raised (Beauhurst Activetech ranking),4,"Behavioural-change nutrition and weight-management app, NHS partner since 2017, with real coaching depth and a 150-person team - training/body-transformation flavour with an obvious next step from habit tracking to visible body-composition progress.",https://www.secondnature.io/de,Registration No. 08511152. Also live in Germany and the US (secondnature.io/de) but London is the founding market and product HQ. Not on the katerina exclusion registry.,verified-live,200,Weight loss medication with clinical support | Second Nature,ios+android,plan,United Kingdom; London; USA,Registration No: 08511152,2026-09-12T06:31:53Z
Numan,https://www.numan.com/,https://uk.linkedin.com/company/numan-com,England,London,"262 (LinkedIn); 486-524 (PitchBook/Tracxn, source-conflict)","$90M (2025, doubled YoY per Series B announcement)",4,"Series B men's health platform (weight loss, hormonal health, diagnostics) with real coaching and a self-reported diagnostics baseline already shipped - a body-composition scan is a natural upsell to its existing blood-test and progress-tracking stack.",https://www.numan.com/,"Registered office Farringdon Point, 33 Farringdon Road, London EC1M 3JF (Numan Operations Limited, Co. No. 13166466). Not on the katerina exclusion registry.",verified-live,200,Numan | Weight Loss | Blood Tests | Erectile Dysfunction | Hair Loss,ios+android,,England; London,"Registered office Floor 4, Farringdon Point, 33 Farringdon Road, London, England, EC1M 3JF",2026-09-12T06:31:53Z
NowPatient,https://nowpatient.com/,https://uk.linkedin.com/company/infohealth-limited,England,"Coulsdon, Surrey",53,Not disclosed,3,"Broad telehealth and AI-health subscription app (Rx savings, chronic-condition monitoring, AI health tools) with a UK MHRA Class I registration; body-composition tracking fits its continuous-monitoring pitch, though core positioning skews closer to clinical than general wellness.",https://nowpatient.com/,"No standalone NowPatient LinkedIn page confirmed - it trades under parent Infohealth Ltd on LinkedIn. Verify the LinkedIn entity before building a Sales Navigator search. Carries a Class I medical-device registration - scope the not-a-medical-device line to the BodyScan feature, not the whole app.",verified-live,200,"Rx Savings, Telehealth Treatments & AI Health | NowPatient",none-on-homepage,per month; monthly; billed monthly; plan,United Kingdom; England; London; Scotland,registration number 1036487,2026-09-12T06:31:53Z
Voy,https://www.joinvoy.com/,https://uk.linkedin.com/company/joinvoy,England,London,"501-1,000 (LinkedIn band)","$675M annualised (2026 job-listing disclosure), ~130% YoY growth",4,"Largest UK-HQ app-first weight-management and longevity platform found (weight loss, menopause, TRT, hair loss) combining prescribing, coaching, blood testing and an app-based care platform at genuine scale - a body-composition scan slots directly into its existing blood-test progress-tracking stack.",https://www.joinvoy.com/,"Rebranded from Manual in 2025 - same UK entity (Menwell Limited), not a third-party acquisition. Returned blocked:js-challenge (429, Vercel checkpoint) from this VPS on 2026-09-02; web-verify is expected to repeat that, which is a VPS-IP problem, not evidence the company is fake.",blocked:js-challenge,429,Vercel Security Checkpoint,,,,,2026-09-12T06:31:53Z
Freeletics,https://www.freeletics.com/,https://www.linkedin.com/company/freeletics,Germany,Munich,103-120 (source-conflict: Tracxn vs LinkedIn bio),Not disclosed; 54M+ users claimed,3,"AI-coaching bodyweight/HIIT training app with a real subscription and coaching engine - good sub-segment fit, but HQ is Munich, not UK; belongs on olena's European campaign, not katerina's.",https://www.freeletics.com/en/,"Surfaces repeatedly in UK 'best fitness app' roundups because it is sold into the UK market; product HQ and legal entity are Munich, Germany. Routed out, not discarded.",verified-live,200,Intensive workouts & individual training plans | FREELETICS,ios+android,plan,,,2026-09-12T06:31:53Z
Juniper (Eucalyptus Health),https://www.myjuniper.co.uk/,https://au.linkedin.com/company/eucalyptusvc,Australia,Sydney,"871 (parent Eucalyptus Health, Jul 2026)",A$200M+ across all Eucalyptus brands (18 months to Mar 2025),4,"App-first GLP-1 weight-management and menopause brand with real coaching and subscription, live on the UK market - but it is a UK-facing brand of Eucalyptus Health, an Australian telehealth company (Sydney HQ); product decisions sit with Eucalyptus, not a UK team.",https://www.myjuniper.co.uk/,"The 2026-09-02 pass labelled this England-HQ despite its own evidence_geo string already flagging 'Australia'. This rerun corrects that. Belongs on vadim's Australia campaign (2026-08-14-au-digital-fitness), not katerina's.",verified-live,200,Medical Weight Loss Programme & Coaching | Juniper UK,none-on-homepage,per month; monthly; subscription; cancel anytime,United Kingdom; London; Australia,Company Number 13901454,2026-09-12T06:31:53Z
Fiit,https://www.fiit.tv/,https://uk.linkedin.com/company/fiit.tv,England,London,"32 (Tracxn, Sep 2026); 43 (alt source, Jan 2026) - trending down",$3.5M ARR (2025),4,"UK's number-one-rated fitness app (personal-trainer-led classes, HIIT to yoga, live leaderboard workouts, training plans) - the clearest flavour-2 training/AI-coaching fit in this whole search; re-admitted once the campaign's employee floor moved 50 to 25.",https://fiit.tv/,"Registered office 14 East Bay Lane, The Press Centre, Queen Elizabeth Olympic Park, London E15 2GW (FIIT LIMITED, Co. No. 10713969). Pivoted in 2025 into 'ONE FIIT', a B2B fitness-operating-system for gyms/hotels/property developers (e.g. The Gym Group, 120+ locations) alongside the original consumer app - confirm which side of the business is live before outreach.",verified-live,200,Fiit,ios,per month; monthly; subscription; cancel anytime,USA,,2026-09-12T06:31:53Z
WithU,https://www.withuapp.com/,https://uk.linkedin.com/company/withu-training,England,"UK (remote-first, no single office confirmed)",31,"Not disclosed - no public figure found; real subscription pricing (GBP9.99/mo, GBP79.99/yr) implies some recurring revenue, but $1M+ is not confirmed",3,"Audio-led personalised training app (strength, HIIT, yoga, running, menopause support) with athlete and celebrity-trainer content and a genuine subscription - solid flavour-2 fit. Re-admitted at the 25 floor, but revenue is a real open question, not just an unconfirmed nicety.",https://www.withuapp.com/,31 employees per LinkedIn/RocketReach. No revenue figure found from any source in this search - flag before prioritising highly.,verified-live,200,Personalised Fitness App for Busy People | WithU,ios+android,plan,,,2026-09-12T06:31:53Z
CheqUp,https://chequp.com/,https://uk.linkedin.com/company/chequp,England,London,Under 50 (LinkedIn '11-50' band); exact figure unresolved,"Not disclosed; plausible above $1M given 250,000 customers served and a WeightWatchers UK partnership",3,"Med-tech weight-loss subscription business (from GBP109/month) with real clinical coaching and a WeightWatchers UK partnership - genuine flavour-4 fit. Included at the 25 floor on the judgement that a CQC-regulated provider serving 250,000 customers cannot realistically run on fewer than 25 people, though the exact headcount is unconfirmed.",https://chequp.com/,"Companies House (12570252) files total-exemption full accounts to 31 Mar 2025 - confirms 'small company' (avg employees under 50) but not the exact number, and that filing predates the growth to 250k customers. Judgement call, not a confirmed pass - a two-minute manual LinkedIn or next-accounts check is worth doing before Sales Navigator.",verified-live,200,Weight Health Support UK | The CheqUp Method,none-on-homepage,plan,,,2026-09-12T06:31:53Z
Medicspot,https://www.medicspot.co.uk/,https://www.linkedin.com/company/medicspot,England,London,34,GBP5.3M / approx $5.6M (12 months to March 2026),3,Clinician-led medical weight-management service (part of Doctor Care Anywhere Group) with a confirmed subscription and coaching model - same flavour-4 tier as NowPatient. Re-admitted once the floor moved to 25; 34 employees clears it with margin.,https://www.medicspot.co.uk/,"Founded 2016 by Zubair Ahmed and Oliver Brooks; started as an in-pharmacy GP-consultation service before adding the weight-management programme. Part of Doctor Care Anywhere Group (larger, separately listed) - confirm whether the weight-management line has its own product owner.",verified-live,200,Medicspot – Weight Loss That Works,none-on-homepage,plan,Manchester,,2026-09-12T06:31:53Z
