#|Company name|HQ country|Market|Segment|Why wrist = must|Pain Score|Funding / revenue|Funding score|Website|E-com type|Last media mention|Coverage score|Priority score|Audit status|Notes / flags
1|Amazfit / Zepp Health|Netherlands (HQ) / China|Health & Fitness|Smartwatch|Smartwatch with optical HR, SpO2, bio-impedance sensors requires continuous skin contact for Zepp Coach/AI health features; wrong fit = corrupted health data|3|Zepp Health Q2 2025 revenue $59.4M (+46% YoY). FY2024 revenue ~$192M — https://sgbonline.com/exec-amazfit-parent-zepp-health-corp-posts-first-year-over-year-growth-since-2021/|3|https://www.amazfit.com/|DTC + Marketplace|Amazfit goes all in on HYROX. Hail Mary or smart investment? — The5kRunner, Jun 2026 — https://the5krunner.com/2026/06/09/amazfit-hyrox-hail-mary/|2|8|Qualified|FILTER PASS: public company, sensor-dependent health wearable, consistent trade press coverage
2|Huawei Watch|China|B2C|Smartwatch|Smartwatch with advanced health sensors (HR, SpO2, ECG, body temp, blood pressure) requires exact skin contact for medical-grade accuracy; wrong fit = sensor failure|3|Huawei 2025 annual revenue ¥880.9B (~$126B USD) — https://www.fierce-network.com/newswire/huawei-releases-2025-annual-report|3|https://consumer.huawei.com/en/wearables/|DTC + Retail + Marketplace|Huawei Watch 5 review: Stunning hardware with customary excellence - Wareable - https://www.wareable.com/smartwatches/huawei-watch-5-review|3|9|Qualified|FILTER PASS: global scale, health sensors require precise fit, major media presence, massive revenue
3|Honor Watch|China|B2C|Smartwatch|Smartwatch with HR/SpO2/stress monitoring sensors; health features require skin contact; Honor Health app ecosystem|3|Honor Device Co. large private, global scale; specific revenue undisclosed — independent from Huawei since 2020|3|https://www.honor.com/global/wearables/|DTC + Retail + Marketplace|Honor Watch 6 Review: Great Endurance, Not Quite Perfect - Yanko Design, Jul 2026 - https://www.yankodesign.com/2026/07/13/honor-watch-6-review-great-endurance-not-quite-perfect/|1|7|Qualified|FILTER PASS: global scale, sensor-dependent, but minimal watch-specific media coverage
4|Mobvoi / TicWatch|Hong Kong / China|B2C|Smartwatch|Wear OS smartwatch with dual-display, HR/SpO2 sensors, Snapdragon chip; sensor accuracy depends on wrist fit; TicPulse/TicHealth ecosystem|3|Mobvoi TTM revenue $56.4M (PitchBook). At peak, TicWatch annual sales 1B yuan — https://pitchbook.com/profiles/company/84931-57|3|https://www.mobvoi.com/|DTC + Marketplace|Mobvoi scales back TicWatch presence while AI products take over — Gadgets & Wearables, Dec 2025 — https://gadgetsandwearables.com/2025/12/06/mobvoi-ai/|2|8|Qualified|FILTER PASS: public company, sensor-dependent, active trade press coverage
5|Withings|France|Health & Fitness|Hybrid smartwatch|ScanWatch medical-grade ECG/SpO2 sensors require precise skin contact for clinical accuracy; hybrid design with traditional watch sizing; medical device classification|3|Withings $96M raised over 7 rounds; ~$100M revenue (2023) — https://www.cbinsights.com/company/withings/financials|2|https://www.withings.com/|DTC + Retail|Withings ScanWatch 2 Review: Medical-Grade Hybrid Innovation - CyberNews, Mar 2026 - https://cybernews.com/health-tech/withings-scanwatch-2-review/|2|7|Qualified|FILTER PASS: Series B+, medical-grade sensors, CES press coverage
6|Suunto|Finland|Sport|Sport smartwatch|Sport GPS watch with wrist HR/SpO2 sensors; multisport tracking requires consistent skin contact for training metrics accuracy; trail runners/divers depend on reliable data|3|Suunto annual revenue ~$61M (2025 est); owned by Liesheng since 2022 — https://ecdb.com/resources/sample-data/retailer/suunto|2|https://www.suunto.com/|DTC + Retail|Suunto Vertical 2 Titanium AMOLED Smartwatch Unveiled — Dutchiee.tv, Mar 2026 — https://www.dutchiee.tv/news/suunto-vertical-2-titanium-amoled-smartwatch-unveiled/|2|7|Qualified|FILTER PASS: global scale sport brand, sensor-dependent, trade press coverage
7|Polar Electro|Finland|Sport|Sport smartwatch|Pioneer of wrist HR monitoring; sport watches with Precision Prime sensor fusion (optical + bioimpedance); sensor accuracy critical for training data; elite athletes depend on data|3|Polar Electro Oy Finland entity revenue ~€32.8M (2024); global group est $100M+ — https://www.kauppalehti.fi/yritykset/yritys/02099112|2|https://www.polar.com/|DTC + Retail + Marketplace|Polar Street X In-Depth Review: What's the Catch? - DC Rainmaker, Apr 2026 - https://www.dcrainmaker.com/2026/04/polar-street-x-in-depth-sports-review.html|1|6|Qualified|FILTER PASS: global scale sport brand, sensor pioneer, but limited recent media coverage
8|COROS Wearables|China / USA (Orange County)|Sport|Sport smartwatch|Sport GPS watch with wrist HR/SpO2 sensors; multisport tracking needs consistent skin contact; used by elite endurance athletes (Eliud Kipchoge)|3|COROS raised $6.1M total over 1 round — https://tracxn.com/d/companies/coros/__a6oXguug8D7DjFVdjYKmVl1weFlaegiA0Stp61NywvE|1|https://coros.com/|DTC + Retail|COROS is teasing an 'all-new Apex' mountain watch — Android Central, 2026 — https://www.androidcentral.com/wearables/coros-teases-apex-3-outdoor-watch|2|6|Qualified|FILTER PASS: sport-focused, sensor-dependent, trade press coverage, but small private company
9|Xplora Technologies|Norway|Kids|Kids smartwatch|Kids GPS smartwatch; adjustable band but correct wrist fit needed for activity tracking accuracy and comfort for children 5-12; returns if uncomfortable|1|Xplora Q3 2025 revenue NOK 510M (+103% YoY), 443K subscriptions — https://live.euronext.com/en/products/equities/company-news/2025-11-26-xplora-q3-25-surpassed-half-billion-quarterly-revenue|3|https://www.xplora.com/|DTC + Retail|Xplora Q3 25 Surpassed half a billion in quarterly revenue — Euronext, Nov 2025 — https://live.euronext.com/en/products/equities/company-news/2025-11-26-xplora-q3-25-surpassed-half-billion-quarterly-revenue|2|7|Qualified|FILTER PASS: public company, growing revenue, business/tech press coverage
10|CMF by Nothing|United Kingdom|B2C|Smartwatch|Budget smartwatch with HR/SpO2 sensors; adjustable silicone strap but sensor accuracy requires proper fit; returns/exchanges if fit is poor|1|Nothing $200M Series C at $1.3B valuation, $1B+ total sales by early 2025 — https://www.financialexpress.com/business/brandwagon-nothing-raises-200m-series-c-at-1-3b-valuation-aims-for-ai-native-devices-3979309/|3|https://nothing.tech/collections/watches|DTC|CMF by Nothing proves it's the IKEA of tech with new phone, Buds Pro 2 and Watch Pro 2 — TechRadar, 2025 — https://www.techradar.com/phones/cmf-by-nothing-proves-its-the-ikea-of-tech-with-new-phone-1-buds-pro-2-and-watch-pro-2|3|8|Qualified|FILTER PASS: unicorn parent, major tech media coverage, budget smartwatch with sensors
