company_name,website,linkedin_url,hq_country,hq_city,employees,revenue_estimate,fit_score_1_to_5,fit_reason,source_url,notes
Flo Health,https://flo.health/,https://www.linkedin.com/company/flohealth,England,London,"672-685 (source-conflict: PitchBook/Craft/Revelio)","$157.6M ARR (2025)",2,"Large UK-operated women's health app with an existing shallow weight/symptom-tracking feature, but its core retention loop is predictive cycle/health insight, not visible body-transformation, so a BodyScan feature is a stretch rather than the literal Erakulis pattern.",https://getlatka.com/companies/flo.health,"Legal entity is Delaware-incorporated 'Flo Health Inc.' for investor structure; product, exec team and majority of the 670+ headcount operate from London. Confirm the UK-HQ framing before naming it in outreach."
Second Nature,https://www.secondnature.io/,https://uk.linkedin.com/company/besecondnature,England,London,150,"Not disclosed; GBP14.8M total raised (Beauhurst Activetech ranking)",4,"Behavioural-change nutrition and weight-management app, NHS partner since 2017, with real coaching depth and a 150-person team - training/body-transformation flavour with an obvious next step from habit tracking to visible body-composition progress.",https://craft.co/secondnature,"Registration No. 08511152. Also live in Germany and the US (secondnature.io/de) but London is the founding market and product HQ. Not on the katerina exclusion registry."
Numan,https://www.numan.com/,https://uk.linkedin.com/company/numan-com,England,London,"262 (LinkedIn); 486-524 (PitchBook/Tracxn, source-conflict)","$90M (2025, doubled YoY per Series B announcement)",4,"Series B men's health platform (weight loss, hormonal health, diagnostics) with real coaching and a self-reported diagnostics baseline already shipped - a body-composition scan is a natural upsell to its existing blood-test and progress-tracking stack.",https://pitchbook.com/profiles/company/265404-43,"Registered office Farringdon Point, 33 Farringdon Road, London EC1M 3JF (Numan Operations Limited, Co. No. 13166466). Not on the katerina exclusion registry."
NowPatient,https://nowpatient.com/,https://uk.linkedin.com/company/infohealth-limited,England,"Coulsdon, Surrey",53,"Not disclosed",3,"Broad telehealth and AI-health subscription app (Rx savings, chronic-condition monitoring, AI health tools) with a UK MHRA Class I registration; body-composition tracking fits its continuous-monitoring pitch, though core positioning skews closer to clinical than general wellness.",https://en.wikipedia.org/wiki/Nowpatient,"No standalone NowPatient LinkedIn page confirmed - it trades under parent Infohealth Ltd on LinkedIn. Verify the LinkedIn entity before building a Sales Navigator search. Carries a Class I medical-device registration - scope the not-a-medical-device line to the BodyScan feature, not the whole app."
Voy,https://www.joinvoy.com/,https://uk.linkedin.com/company/joinvoy,England,London,"501-1,000 (LinkedIn band)","$675M annualised (2026 job-listing disclosure), ~130% YoY growth",4,"Largest UK-HQ app-first weight-management and longevity platform found (weight loss, menopause, TRT, hair loss) combining prescribing, coaching, blood testing and an app-based care platform at genuine scale - a body-composition scan slots directly into its existing blood-test progress-tracking stack.",https://careers.joinvoy.com/,"Rebranded from Manual in 2025 - same UK entity (Menwell Limited), not a third-party acquisition. Returned blocked:js-challenge (429, Vercel checkpoint) from this VPS on 2026-09-02; web-verify is expected to repeat that, which is a VPS-IP problem, not evidence the company is fake."
Freeletics,https://www.freeletics.com/,https://www.linkedin.com/company/freeletics,Germany,Munich,"103-120 (source-conflict: Tracxn vs LinkedIn bio)","Not disclosed; 54M+ users claimed",3,"AI-coaching bodyweight/HIIT training app with a real subscription and coaching engine - good sub-segment fit, but HQ is Munich, not UK; belongs on olena's European campaign, not katerina's.",https://en.wikipedia.org/wiki/Freeletics,"Surfaces repeatedly in UK 'best fitness app' roundups because it is sold into the UK market; product HQ and legal entity are Munich, Germany. Routed out, not discarded."
Juniper (Eucalyptus Health),https://www.myjuniper.co.uk/,https://au.linkedin.com/company/eucalyptusvc,Australia,Sydney,"871 (parent Eucalyptus Health, Jul 2026)","A$200M+ across all Eucalyptus brands (18 months to Mar 2025)",4,"App-first GLP-1 weight-management and menopause brand with real coaching and subscription, live on the UK market - but it is a UK-facing brand of Eucalyptus Health, an Australian telehealth company (Sydney HQ); product decisions sit with Eucalyptus, not a UK team.",https://en.wikipedia.org/wiki/Juniper_(telehealth_company),"The 2026-09-02 pass labelled this England-HQ despite its own evidence_geo string already flagging 'Australia'. This rerun corrects that. Belongs on vadim's Australia campaign (2026-08-14-au-digital-fitness), not katerina's."
Fiit,https://www.fiit.tv/,https://uk.linkedin.com/company/fiit.tv,England,London,"32 (Tracxn, Sep 2026); 43 (alt source, Jan 2026) - trending down","$3.5M ARR (2025)",4,"UK's number-one-rated fitness app (personal-trainer-led classes, HIIT to yoga, live leaderboard workouts, training plans) - the clearest flavour-2 training/AI-coaching fit in this whole search; re-admitted once the campaign's employee floor moved 50 to 25.",https://getlatka.com/companies/onefiit.com,"Registered office 14 East Bay Lane, The Press Centre, Queen Elizabeth Olympic Park, London E15 2GW (FIIT LIMITED, Co. No. 10713969). Pivoted in 2025 into 'ONE FIIT', a B2B fitness-operating-system for gyms/hotels/property developers (e.g. The Gym Group, 120+ locations) alongside the original consumer app - confirm which side of the business is live before outreach."
WithU,https://www.withuapp.com/,https://uk.linkedin.com/company/withu-training,England,"UK (remote-first, no single office confirmed)",31,"Not disclosed - no public figure found; real subscription pricing (GBP9.99/mo, GBP79.99/yr) implies some recurring revenue, but $1M+ is not confirmed",3,"Audio-led personalised training app (strength, HIIT, yoga, running, menopause support) with athlete and celebrity-trainer content and a genuine subscription - solid flavour-2 fit. Re-admitted at the 25 floor, but revenue is a real open question, not just an unconfirmed nicety.",https://rocketreach.co/withu-profile_b65de555cb7edb84,"31 employees per LinkedIn/RocketReach. No revenue figure found from any source in this search - flag before prioritising highly."
CheqUp,https://chequp.com/,https://uk.linkedin.com/company/chequp,England,London,"Under 50 (LinkedIn '11-50' band); exact figure unresolved","Not disclosed; plausible above $1M given 250,000 customers served and a WeightWatchers UK partnership",3,"Med-tech weight-loss subscription business (from GBP109/month) with real clinical coaching and a WeightWatchers UK partnership - genuine flavour-4 fit. Included at the 25 floor on the judgement that a CQC-regulated provider serving 250,000 customers cannot realistically run on fewer than 25 people, though the exact headcount is unconfirmed.",https://find-and-update.company-information.service.gov.uk/company/12570252,"Companies House (12570252) files total-exemption full accounts to 31 Mar 2025 - confirms 'small company' (avg employees under 50) but not the exact number, and that filing predates the growth to 250k customers. Judgement call, not a confirmed pass - a two-minute manual LinkedIn or next-accounts check is worth doing before Sales Navigator."
Medicspot,https://www.medicspot.co.uk/,https://www.linkedin.com/company/medicspot,England,London,34,"GBP5.3M / approx $5.6M (12 months to March 2026)",3,"Clinician-led medical weight-management service (part of Doctor Care Anywhere Group) with a confirmed subscription and coaching model - same flavour-4 tier as NowPatient. Re-admitted once the floor moved to 25; 34 employees clears it with margin.",https://www.thecompanycheck.com/company/b/medicspot/hmwlw025yoz34rgzr,"Founded 2016 by Zubair Ahmed and Oliver Brooks; started as an in-pharmacy GP-consultation service before adding the weight-management programme. Part of Doctor Care Anywhere Group (larger, separately listed) - confirm whether the weight-management line has its own product owner."
Nutracheck,https://www.nutracheck.co.uk/,https://uk.linkedin.com/company/nutracheck,England,Nottingham,36,"Not disclosed; acquired for GBP43M (80.7% stake, Nov 2022), implying substantial standalone revenue",3,"UK-origin calorie and nutrient-tracking app (430,000+ food database) with free and paid subscription tiers - textbook flavour-3 nutrition/habit-tracking fit. Re-admitted at the 25 floor (36 employees); the Nov 2022 acquisition (Hubert Burda Media / Immediate Media) is treated as NOT recent, the same ~4-year-old-acquisition call the sibling nick campaign made for Lose It! (also acquired in 2022).",https://flashesandflames.com/2022/11/17/burda-buys-uk-weight-loss-app/,"Operated by Nutratech Limited. HQ Nottingham with a London presence. Immediate Media (Burda) holds 80.7%, with an option on the remaining 19.3% after Oct 2024 - confirm the buyer conversation still runs through a UK product owner."
Coopah,https://coopah.com/,https://www.linkedin.com/company/coopah,England,London,27,"Not disclosed; one automated estimate (RocketReach-sourced, $57.7M) is not credible for a company at this funding stage and is not used here",3,"AI-driven run-coaching subscription app (official TCS London Marathon training app, backed by London Marathon Events and Alistair Brownlee MBE) - new find from the re-sweep, outside the original 50-employee-floor search. Genuine flavour-2 fit; revenue is the open question given seed stage.",https://www.uktech.news/medtech/ai-driven-running-app-coopah-gains-1-5m-funding-20241113,"27 employees (uktech.news, Nov 2024 funding announcement). Only $2.54M total raised per Tracxn - genuinely early-stage; the $1M+ revenue bar is unconfirmed, not just undisclosed. Flag for Vadim before treating as equal-confidence to Second Nature/Numan/Voy."
