company_name,website,linkedin_url,hq_country,hq_city,employees,revenue_estimate,fit_score_1_to_5,fit_reason,source_url,notes,verification,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at
BetterMe,https://betterme.world/,https://cy.linkedin.com/company/betterme-company,Ukraine,Kyiv,"736-766 (Tracxn/LeadIQ, Jul 2026)","Not disclosed; global scale (700+ employees, 6 continents) implies well above the $1M floor",5,"Literal multi-pillar wellness app (fitness, nutrition, mindfulness coaching) with a paid subscription and a Smart Scale add-on that ships shallow body-composition tracking, not a camera scan; the closest Erakulis analogue on the list.",https://betterme.world/,"flavour=1; body_metrics=smart-scale; glp1_mode=yes (optional clinician-prescribed add-on per Treatsphere 2026 review); parent=; legal_hq=Paphos, Cyprus; product_hq=UA (Kyiv); hq_basis=Ukrainian-founded 2017 in Kyiv, per Vadim's 2026-09-14 BetterMe/Welltech waiver of icp-detail.md:563; Cyprus is the registered legal seat, company still hires Kyiv roles per careers page.",verified-live,200,BetterMe | Personalized holistic wellness solution,ios+android,plan,,,2026-09-14T07:09:53Z
Gymondo,https://www.gymondo.com/,https://www.linkedin.com/company/gymondo-gmbh,Germany,Berlin,82-100 (LeadIQ Jul 2026 vs. an older aggregator figure),"Not disclosed; 500,000+ paying subscribers across Gymondo+7Mind per Oakley Capital's own 2023 announcement",5,"The clearest literal Erakulis pattern on the list: fitness + nutrition + meditation in one subscription since the December 2023 7Mind acquisition, and the leading D2C fitness platform in the DACH region.",https://www2.gymondo.com/en,"flavour=1; body_metrics=manual; glp1_mode=no; parent=7NXT (Oakley Capital-backed); acquisition=7Mind, Dec 2023 (older than the 18-month recent-acquisition anti-case window, so not excluded); legal_hq=product_hq=Berlin, Germany, no conflict.",verified-live,200,Gymondo Online Fitness - Get Fit & Happy at Home,ios+android,subscription; cancel anytime; plan,,,2026-09-14T07:09:53Z
Activerse (Diet & Training by Ann),https://healthyplanbyann.com/,https://www.linkedin.com/company/activerse,Poland,Poznan,"37 (LeadIQ, Jul 2026)","$1M-$10M (LeadIQ estimate, Jul 2026)",4,"Polish multi-pillar subscription app (workouts, meal plans, Pilates, a Balance relaxation/breathing pillar) built with influencer Anna Lewandowska; closes the Poland sweep gap with a real B2C subscription business at scale.",https://healthyplanbyann.com/,"flavour=1; body_metrics=manual; glp1_mode=no; parent=; legal_hq=product_hq=Poznan, Poland, no conflict; company also runs a B2B white-label app framework alongside the B2C Diet & Training by Ann brand.",verified-live,200,Anna Lewandowska - healthy plan by Ann,ios+android,plan,,,2026-09-14T07:09:53Z
Freeletics,https://www.freeletics.com/,https://www.linkedin.com/company/freeletics,Germany,Munich,103-120 (source-conflict: Tracxn vs. LinkedIn bio),Not disclosed; 54M+ users claimed,4,"Hypothesis's named flavour-2 anchor: an AI-coaching training app (Coach+) with a real subscription and a large European base; re-scored higher here than on the UK list because this is its actual home market, not a geo-mismatch routing.",https://www.freeletics.com/en/,"flavour=2; body_metrics=manual; glp1_mode=no; parent=unconfirmed — the 2026-09-14 hypothesis desk pass cites a possible 2022 Infront Sports & Media acquisition, and a fresh 2026-09-14 search instead surfaced a 2018 Fitlab/Causeway Media/Jazz Venture Partners investor consortium; no primary source (Handelsregister or a company statement) found in either pass, so parent is left unconfirmed per the hypothesis's own instruction; legal_hq=product_hq=Munich, Germany, no conflict.",verified-live,200,Intensive workouts & individual training plans | FREELETICS,ios+android,plan,,,2026-09-14T07:09:53Z
Fitify,https://gofitify.com/,https://www.linkedin.com/company/fitifyapp,Czech Republic,Prague,27-29 (PitchBook 28-29 total; LinkedIn bio bands 11-50),Not disclosed; 20M+ user community claimed,3,Small but genuine AI-driven training app that clears the 25-employee floor; gives the sweep a CEE training-flavour company beyond Freeletics.,https://gofitify.com/,"flavour=2; body_metrics=manual; glp1_mode=no; parent=; legal_hq=product_hq=Prague, Czech Republic, no conflict; headcount conflict: PitchBook 28-29 vs. LinkedIn's banded 11-50, both straddle/clear the 25 floor.",verified-live,200,Fitify App: AI fitness plans & workouts,ios+android,plan,,,2026-09-14T07:09:53Z
FitCoach (Welltech),https://welltech.com/products/fit-coach/,https://www.linkedin.com/company/welltech,Ukraine,Kyiv,793-810 (Welltech group total; per-brand headcount not disclosed),Not disclosed; parent Welltech reports 220M+ installs across its apps,4,"Personalised home-training coaching app, the training-flavour anchor of the Welltech portfolio, with real paid subscription tiers.",https://welltech.com/products/fit-coach/,"flavour=2; body_metrics=manual; glp1_mode=no; parent=Welltech; legal_hq=Limassol, Cyprus; product_hq=UA (Kyiv); hq_basis=Ukrainian-founded, per Vadim's 2026-09-14 BetterMe/Welltech waiver and the hypothesis's own geo table naming 'the BetterMe/Welltech shape'; Welltech also runs Warsaw, Barcelona and London offices.",verified-live,200,Welltech | Best fitness apps for beginners,none-on-homepage,plan,,,2026-09-14T07:09:53Z
Muscle Booster (Welltech),https://musclebooster.welltech.com/,https://www.linkedin.com/company/welltech,Ukraine,Kyiv,793-810 (Welltech group total; per-brand headcount not disclosed),Not disclosed; parent Welltech reports 220M+ installs across its apps,4,"Strength-training app with meal recommendations, combining training and light nutrition guidance in one subscription; the second-strongest Welltech brand for this sub-segment.",https://musclebooster.welltech.com/,"flavour=2; body_metrics=manual; glp1_mode=no; parent=Welltech; legal_hq=Limassol, Cyprus; product_hq=UA (Kyiv); hq_basis=same as FitCoach row above.",verified-live,200,Muscle Booster | Personalized Strength & Weight Loss Plans,none-on-homepage,plan,,,2026-09-14T07:09:53Z
WalkFit (Welltech),https://walkfit.welltech.com/,https://www.linkedin.com/company/welltech,Ukraine,Kyiv,793-810 (Welltech group total; per-brand headcount not disclosed),Not disclosed; parent Welltech reports 220M+ installs across its apps,3,Walking-programme app with an in-app step counter and a paid tier; thinner fit than FitCoach/Muscle Booster because visible body-composition progress is not the app's core loop.,https://walkfit.welltech.com/,"flavour=2; body_metrics=manual; glp1_mode=no; parent=Welltech; legal_hq=Limassol, Cyprus; product_hq=UA (Kyiv); hq_basis=same as FitCoach row above.",verified-live,200,WalkFit – Walking App for Beginners | Lose Weight by Walking,none-on-homepage,plan,,,2026-09-14T07:09:53Z
Yoga-Go (Welltech),https://yogago.welltech.com/,https://www.linkedin.com/company/welltech,Ukraine,Kyiv,793-810 (Welltech group total; per-brand headcount not disclosed),Not disclosed; parent Welltech reports 220M+ installs across its apps,3,"Yoga/mobility app with a real paid subscription; weakest body-metrics story in the Welltech portfolio, kept on the list at a lower score rather than dropped outright.",https://yogago.welltech.com/,"flavour=2; body_metrics=none; glp1_mode=no; parent=Welltech; legal_hq=Limassol, Cyprus; product_hq=UA (Kyiv); hq_basis=same as FitCoach row above; content-library risk flagged — reviewers say progress tracking is limited, re-check at step 4.",verified-live,200,Yoga Go | Daily Personalized Yoga & Stretching Plans,none-on-homepage,plan,USA,,2026-09-14T07:09:53Z
Omo (Welltech),https://welltech.com/products/omo/,https://www.linkedin.com/company/welltech,Ukraine,Kyiv,793-810 (Welltech group total; per-brand headcount not disclosed),Not disclosed; parent Welltech reports 220M+ installs across its apps,4,"Weight-tracking and nutrition-focused Welltech brand, the portfolio's clearest flavour-3 fit and a natural next step toward body-composition tracking.",https://welltech.com/products/omo/,"flavour=3; body_metrics=manual; glp1_mode=no; parent=Welltech; legal_hq=Limassol, Cyprus; product_hq=UA (Kyiv); hq_basis=same as FitCoach row above.",verified-live,200,Welltech | Best fitness apps for beginners,none-on-homepage,plan,,,2026-09-14T07:09:53Z
