#,company_name,website,hq_city,hq_country,segment,app_first,subscription_model,progress_tracking_today,icp_fit,fit_rationale,flags,verification
1,LighterLife,https://www.lighterlife.com/,Harlow,England,Meal-replacement weight management,Yes (app + online groups),Yes (weekly food packs + counselling),Weekly weigh-in with a counsellor,Medium,"Remote members on a structured programme with a recurring weigh-in ritual, which is the exact moment a non-scale signal has to land",Small business; product team size unknown,unverified-desk
2,Cambridge Weight Plan (The 1:1 Diet),https://www.one2onediet.com/,Northamptonshire,England,Meal-replacement weight management,Partial (client app + consultant tools),Yes (consultant-led programme),In-person measurement by an independent consultant,Medium,"Consultants already take tape measurements, and central HQ owns the app the consultants work through",Franchise/consultant network; buyer sits at HQ not at the point of measurement,unverified-desk
3,Lose It!,https://www.loseit.com/,Boston,USA,Calorie tracking app,Yes (iOS/Android),Yes (freemium + Premium),Self-reported weight and photo logging,Exclude,US-HQ so product decisions are not reachable from a UK LinkedIn campaign,geo: route to `nick` (USA),unverified-desk
4,Lifesum,https://lifesum.com/,Stockholm,Sweden,Nutrition and habit app,Yes (iOS/Android),Yes (Premium),Self-reported weight and habit streaks,Exclude,Sweden-HQ so it fails the UK profile filter,geo: route to `olena` (Europe),unverified-desk
5,MyFitnessPal,https://www.myfitnesspal.com/,San Francisco,USA,Calorie tracking app,Yes (iOS/Android),Yes (Premium),Self-reported weight and measurements,Exclude,US-HQ under Francisco Partners so the roadmap owner is not in the UK,geo: route to `nick` (USA),unverified-desk
6,PureGym,https://www.puregym.com/,Leeds,England,Low-cost gym chain,Yes (PureGym app),Yes (monthly membership),App workout tracking; body composition not standard,High,"Largest UK member base with a central digital product team and a retention number, and the app is the member surface already",PE-owned; enterprise procurement likely,unverified-desk
7,EasyGym,https://www.easygym.co.uk/,London,England,Low-cost gym chain,Partial,Yes (monthly membership),Minimal digital tracking,Low,UK geo passes but the chain is small and the digital surface is thin,Brand licensed from easyGroup; limited product capacity,unverified-desk
8,Fitness First UK,https://www.fitnessfirst.co.uk/,Unknown,England (status unclear),Health club chain,Unknown,Yes (monthly membership),Unknown,Exclude,"DW Fitness First went into administration in 2020 and most UK clubs closed or changed hands, so there may be no UK entity to sell into",viability: confirm a live UK operating company before any outreach,unverified-desk
9,David Lloyd Clubs,https://www.davidlloyd.co.uk/,Hatfield,England,Premium health clubs,Yes (David Lloyd app),Yes (monthly membership),In-club assessments including body composition at some sites,High,"Premium members, a central product team, and an existing in-club body composition offering that makes this a displacement conversation rather than a cold one",Owned by TDR Capital; check for an existing scanner or scale partnership first,unverified-desk
10,Gymbox,https://www.gymbox.com/,London,England,Boutique gym chain,Partial,Yes (monthly membership),Minimal digital tracking,Medium-Low,UK geo and a distinctive brand but roughly ten sites and a small product team,Budget likely below the entry tier,unverified-desk
11,MuscleFood,https://www.musclefood.com/,Nottingham,England,Food delivery + transformation programmes,Yes,Yes (Goal Getters meal plan subscription),Programme progress tracking and before/after photos,Medium,"Runs transformation programmes where members already submit progress photos, which is the flow being upgraded rather than introduced",E-commerce economics; per-user pricing tolerance unknown,unverified-desk
12,The Protein Works,https://www.theproteinworks.com/,Runcorn,England,Sports nutrition e-commerce,No,Partial (repeat purchase),None,Low,UK geo passes but there is no member programme and no progress surface to embed into,use-case: no body-measurement moment in the customer journey,unverified-desk
13,MyProtein,https://www.myprotein.com/,Manchester,England,Sports nutrition e-commerce,Yes (Myprotein app),Partial (subscribe and save),None on body composition,Low-Medium,"Large UK-HQ digital team under THG, but the relationship is transactional rather than a tracked programme",use-case: would need a new engagement surface built around the scan,unverified-desk
