company_name,website,linkedin_url,hq_country,hq_city,employees,revenue_estimate,fit_score_1_to_5,fit_reason,source_url,notes
Zoe,https://joinzoe.com,https://www.linkedin.com/company/joinzoe,UK,London,"51-483 (source-conflict: LinkedIn 51-200, PitchBook 483)","$17.5M-$36.5M (source-conflict)",5,"D2C subscription health app with an existing dedicated weight-management vertical, personalized nutrition, and repeat/longitudinal engagement mechanic — closest fit to FitXpress's retention/progress-visualization pitch.",https://www.deloitte.co.uk/fast50/winners/2024/winner-profiles/zoe/,"LinkedIn URL is a standard-format guess, not individually verified. Employee/revenue figures conflict sharply across sources - verify via Sales Navigator before sizing."
Vira Health (Stella),https://www.onstella.com,https://www.linkedin.com/company/virahealth,UK,London,47,"$16M total raised (funding, not revenue)",4,"Menopause digital clinic with structured CBT/exercise/diet/lifestyle tracking; menopause-related body-composition change is a named clinical pain point that a body-scan integration would directly support.",https://techcrunch.com/2022/03/14/vira-health-series-a/,"Distribution is B2B2C via employer/insurer partners, not open D2C signup - confirm who owns integration decisions."
Peppy Health,https://www.peppy.health,https://www.linkedin.com/company/peppy-health,UK,London,"101-200","$56.7M total raised (funding); one source cites $2M revenue, looks stale/inconsistent",4,"Named femtech/digital-health engagement example in icp-detail.md; menopause/fertility/men's-health platform with 250+ enterprise clients - body data would be a genuine product expansion for retention/outcomes reporting.",https://sifted.eu/articles/peppy-raise-us-expansion,"Current product is expert chat/webinars/content, not biometric tracking - this is a product-expansion pitch, not a plug-and-play fit. Revenue figure unverified/likely stale."
Newson Health Group (incl. Balance app),https://www.newsonhealth.co.uk,https://www.linkedin.com/company/newson-health,UK,Stratford-upon-Avon,59,"Unverified - one source's ""$100M-1B"" figure looks implausible for company size, treat as unresolved",4,"Private menopause clinic chain (HRT prescribing, ongoing patient relationships) plus a 1M+-user symptom-tracking app (Balance) - genuinely private/cash-pay, longitudinal clinical model.",https://uk.linkedin.com/in/drlouisenewson,"Revenue data unreliable across every source checked - verify via Companies House before citing any figure in outreach."
Healthier Weight,https://www.healthierweight.co.uk,https://uk.linkedin.com/company/healthierweight,UK,"Multi-city England (+ Glasgow, Belfast)","Unverified (multi-clinic network implies >50)","Unverified",4,"UK's largest private bariatric-surgery network with 20,000+ procedures and a dedicated post-op patient app - multi-year aftercare is exactly the repeat-body-check-in mechanic the hypothesis targets.",https://www.healthierweight.co.uk/about-us/,"Employee/revenue not found in public sources - verify via Companies House. Some clinics outside England (Scotland, NI); England is the dominant footprint."
Tonic Weight Loss Surgery,https://tonicweightlosssurgery.co.uk,https://uk.linkedin.com/company/tonic-weight-loss-&-cosmetic-surgery,UK,"Birmingham / Long Eaton",11-20 (one source says 4),"$5M (2025)",3,"Private bariatric surgery with an explicit 5-year structured aftercare program - strong longitudinal-tracking use case despite small team size.",https://find-and-update.company-information.service.gov.uk/company/09300273,"Employee count likely below the ~50-employee floor the hypothesis names; revenue clears the $2M+ bar."
Fiit,https://fiit.tv,https://www.linkedin.com/company/fiit,UK,London,"32-82 (source-conflict)","$3.5M-$35M (source-conflict, wide spread)",3,"Connected fitness platform pivoted to B2B2C (gyms, hospitality, corporate wellness) - 5M+ downloads, 40M+ workouts completed; retention-focused product.",https://tracxn.com/d/companies/fiit/,"Revenue/employee figures conflict heavily across data providers - verify before sizing. Pivot to B2B2C changes the buyer (gym/corporate ops)."
Flo Health,https://flo.health,https://www.linkedin.com/company/flohealth,UK,London,685,"$157.6M",3,"Massive-scale, retention-obsessed D2C subscription health app (60M+ MAU) - fits the ICP's engagement/retention profile, but body composition is not a current feature (stretch fit, product-expansion pitch).",https://getlatka.com/companies/flo.health,"Core product is period/ovulation tracking; weight is logged as a symptom but body composition is not native - confirm appetite for the angle with Vadim before prioritizing."
The Body Coach App (Joe Wicks Ltd),https://www.thebodycoach.com,https://uk.linkedin.com/company/the-body-coach,UK,"Richmond, London",51-100,"$3.1M-$9M (source-conflict); +£3M ITV AdVentures investment Jan 2026",3,"D2C fitness/nutrition subscription app with 130K+ historical paid subscribers and a strong body-progress/transformation narrative already in its marketing.",https://www.builtbyfoundry.io/blog/joe-wicks-body-coach-app-empire,"Media/content-driven brand, not a clinical or B2B health-tech company - lower-touch buyer (product/growth, not clinical ops)."
Huma Therapeutics,https://www.huma.com,https://www.linkedin.com/company/humaforhealth,UK,London,"501-1,000 (~500 pre-2025 ~10% layoffs)","Unverified; historically loss-making (£26M loss 2021)",2,"Large-scale UK remote-patient-monitoring platform with cardiometabolic relevance across 3,000+ hospitals/clinics globally.",https://sifted.eu/articles/uk-healthtech-huma-layoffs,"MODEL MISMATCH: B2B/B2G platform sold to pharma/health systems, not a private cash-pay D2C provider - buying motion is enterprise platform procurement, not program-level integration."
