first_name,last_name,company,title,linkedin_url,location,message_step1,message_step2,message_step3,message_step4
,,Medibank,Head of Integrated Healthcare Experience,,,"Dani, Medibank preventive health — Australia's health insurers are competing on wellness program engagement. The differentiator: showing members real, visible progress they can track.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
Here's the preventive health insight: members who see their progress stay enrolled. Members who only see a number on a scale drop out. FitXpress delivers that visual progress layer — two photos every 30 days, a 3D model that shows body composition changes that a scale can't capture (fat loss, muscle gain, measurement changes across 80+ data points). For Medibank's wellness programs, this means higher completion rates, better health outcomes, and members who attribute their progress directly to their insurer — strengthening retention and NPS.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Dani — quick thought on preventive health engagement. FitXpress transforms body measurement from a clinical task into a member experience: 3D model, side-by-side progress comparison, full body composition. Yazen saw retention skyrocket when they added this. For Medibank: measurable engagement lift for wellness programs. Worth 15 minutes?","Dani — won't keep going. If member engagement through body progress tracking comes up at Medibank, happy to show the member experience."
,,Bupa Australia,Program Director,,,"David, Bupa Australia digital ecosystem — member health tracking is the engagement layer insurers are competing on. Remote body measurement with visual progress gives members a reason to stay engaged.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
For Bupa Australia's digital health stack, the opportunity is closing the loop between virtual care delivery and physical measurement data. Most insurers have invested in telehealth platforms, member apps, and digital claims — but when a member needs body measurement for a health program, the process still involves a clinic visit or a self-reported scale weight. FitXpress changes that: two photos from the member's phone, 45 seconds, verified measurements with 96-97% accuracy vs manual measurements. The API integrates directly into existing member apps and clinical workflows.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","David — specifically on the measurement gap. Bupa Australia has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","David — last note from me. If adding remote body measurement to Bupa Australia's digital health stack ever becomes a priority, I'm available."
,,Mosh,Chief Product Officer,,,"James, Mosh digital health roadmap — the shift to virtual care is real. But body measurement data is still manual. A 45-second remote scan fills that gap.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
Here's why this matters for Mosh's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a digital health company, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","James — specifically on the measurement gap. Mosh has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","James — final one. If the body measurement gap in Mosh's digital health experience becomes a priority, reach out anytime."
,,Bupa Australia,"Director Operations and Enablement, Health Insurance",,,"JoAnne, Bupa Australia digital ecosystem — member health tracking is the engagement layer insurers are competing on. Remote body measurement with visual progress gives members a reason to stay engaged.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
Here's why this matters for Bupa Australia's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a health insurer, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","JoAnne — a digital health stack thought. Most insurers have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Bupa Australia: a digital measurement layer that completes the virtual care experience. 15 minutes to walk through the integration?","JoAnne — last note from me. If adding remote body measurement to Bupa Australia's digital health stack ever becomes a priority, I'm available."
,,Bupa Australia,Director - Mental Health (Mindplace),,,"Andrea, you lead digital product at Bupa Australia. The disconnect between digital health tools and physical measurement data is a weak point in most insurer stacks. We solve exactly that.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
For Bupa Australia's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Bupa Australia uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Andrea — a digital health stack thought. Most insurers have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Bupa Australia: a digital measurement layer that completes the virtual care experience. 15 minutes to walk through the integration?","Andrea — leaving this here. If remote body measurement API integration ever becomes relevant for Bupa Australia's product roadmap, I'm available."
,,Bupa Australia,Head of Design Digital Transformation,,,"Kernow, Bupa Australia digital ecosystem — member health tracking is the engagement layer insurers are competing on. Remote body measurement with visual progress gives members a reason to stay engaged.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Bupa Australia's digital health stack, the opportunity is closing the loop between virtual care delivery and physical measurement data. Most insurers have invested in telehealth platforms, member apps, and digital claims — but when a member needs body measurement for a health program, the process still involves a clinic visit or a self-reported scale weight. FitXpress changes that: two photos from the member's phone, 45 seconds, verified measurements with 96-97% accuracy vs manual measurements. The API integrates directly into existing member apps and clinical workflows.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Kernow — a digital health stack thought. Most insurers have digitized claims, telehealth, and member portals. Body measurement is the piece that's still analog. FitXpress fills that gap: 96-97% accuracy vs manual measurements, 45 seconds, API integration. For Bupa Australia: a digital measurement layer that completes the virtual care experience. 15 minutes to walk through the integration?","Kernow — leaving this here. If remote body measurement API integration ever becomes relevant for Bupa Australia's product roadmap, I'm available."
,,Medibank,Group Medical Director,,,"Shona, Medibank digital strategy — telehealth and virtual care are growing fast in Australia. But body measurement still defaults to in-person. Remote capture changes the equation.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Medibank's digital health stack, the opportunity is closing the loop between virtual care delivery and physical measurement data. Most insurers have invested in telehealth platforms, member apps, and digital claims — but when a member needs body measurement for a health program, the process still involves a clinic visit or a self-reported scale weight. FitXpress changes that: two photos from the member's phone, 45 seconds, verified measurements with 96-97% accuracy vs manual measurements. The API integrates directly into existing member apps and clinical workflows.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Shona — quick thought. FitXpress turns body measurement into an API call: two photos in, 80+ measurements + body composition out. 96-97% accuracy vs manual measurements, HIPAA-compliant, integrates into any digital health stack. For Medibank: verified body data as a product feature. 15 minutes?","Shona — won't keep going. If verified body measurement as a digital health capability comes up at Medibank, happy to show how it works."
,,HCF Australia,Head of Assurance and Regulatory Programs,,,"Karen, at HCF Australia you're focused on IT risk and governance. Body measurement data captured via member smartphones — the compliance framework around that data matters. We built ours for regulated health environments.","Thanks for accepting. I'm from 3DLOOK — we built FitXpress to produce verified body measurements that meet the governance standards health insurers and regulators require.
For HCF Australia's compliance framework, remote body measurement introduces specific governance requirements: data provenance (where did the measurement come from?), data integrity (was it altered?), and data privacy (what identifiable information is captured?). FitXpress addresses all three. Provenance: every scan is tied to a specific capture event with timestamp and image hash. Integrity: measurements are generated by a statistical model — they can't be manually edited, only re-scanned. Privacy: the platform processes body data exclusively; no names, emails, or member IDs touch the measurement pipeline. Photos are ephemeral — deleted post-processing. For an insurer at HCF Australia's scale, this means body measurement data that's defensible under regulatory scrutiny.","Karen — a compliance perspective. As HCF Australia adds digital health tools, the measurement data feeding those tools needs to be defensible. FitXpress provides audit-ready body measurement: timestamped records, immutable data, zero PII, encryption always on. UK Meds uses it for regulated pharmacy dispensing. For HCF Australia: body measurement data you can stand behind. 10 minutes to review the compliance architecture?","Karen — leaving this here. If verified, audit-ready body measurement with a defensible compliance framework ever becomes relevant at HCF Australia, I'm available."
,,Bupa Australia,Transformation Director Health Insurance,,,"Liam, Bupa Australia digital health roadmap — the shift to virtual care is real. But body measurement data is still manual. A 45-second remote scan fills that gap.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
Here's why this matters for Bupa Australia's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a health insurer, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Liam — specifically on the measurement gap. Bupa Australia has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","Liam — won't keep going. If verified body measurement as a digital health capability comes up at Bupa Australia, happy to show how it works."
,,HCF Australia,Chief of - Member Experience,,,"Emma, HCF Australia growth strategy — the most undervalued retention tool in health insurance: giving members visible proof that their health is improving. FitXpress delivers that proof.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For HCF Australia's member engagement strategy, the retention math is simple: members who actively use their insurer's health tools are significantly less likely to switch. The challenge is giving them tools they'll actually use — not another generic wellness app. FitXpress fills that gap with something genuinely compelling: a 3D body scan from two photos that shows members exactly how their body is changing over time. Body fat percentage going down, lean mass going up, measurements shifting across 80+ data points — all visualized side by side with their previous scan. Yazen, a European weight loss platform, ran 34,000 scans in 2025. Their patients scan every 30 days, and the side-by-side 3D visualization is their #1 retention feature. For a health insurer, that's the engagement metric that directly impacts lifetime value.","Emma — one more on member engagement. FitXpress turns body measurement into a monthly member ritual: two photos, 3D progress model, body composition breakdown. 96-97% accuracy vs manual measurements, 45 seconds. For HCF Australia: NPS and retention through visible health progress. 15-minute walkthrough?","Emma — final one. If retention through member health tools becomes relevant for HCF Australia's strategy, reach out anytime."
