person_id,full_name,first_name,last_name,title,seniority,company_name,company_linkedin_url,person_linkedin_url,email_guess,location_country,location_city,years_in_role,profile_summary
f0c328aedec0,Daisy Wong,Daisy,Wong,Head of Security Awareness,Director,Medibank,https://www.medibank.com.au/,https://www.linkedin.com/in/daisywongcyber/,,Australia,Melbourne,2 years in company,"Company: Australia's leading private health insurer offering health insurance, telehealth, virtual care, and preventive health programs. | Fit: 3DLOOK FitXpress enhances Medibank's digital health services with AI-powered body measurements, remote progress tracking, and objective body data for weight management and preventive care."
971735404aae,Dani Rutman,Dani,Rutman,Head of Integrated Healthcare Experience,Director,Medibank,https://www.medibank.com.au/,https://au.linkedin.com/in/rutmandanielle,,Australia,Melbourne,9 years 9 months in company,"Company: Australia's leading private health insurer offering health insurance, telehealth, virtual care, and preventive health programs. | Fit: 3DLOOK FitXpress enhances Medibank's digital health services with AI-powered body measurements, remote progress tracking, and objective body data for weight management and preventive care."
0f44c2c1bcb1,David McHale,David,McHale,Program Director,C-Level,Bupa Australia,https://www.bupa.com.au/,https://au.linkedin.com/in/davidgmchale,,Australia,Sydney,1 year 1 month in company,"Company: Leading Australian health insurer providing private health insurance, telehealth, primary care, aged care, dental, and preventive health services. | Fit: 3DLOOK FitXpress enhances Bupa's digital health and preventive care programs with AI-powered body measurements, remote progress tracking, and objective body data for weight management and chronic disease monitoring."
9e93f3a533b8,James Taylor,James,Taylor,Chief Product Officer,C-Level,Mosh,https://www.getmosh.com.au/?srsltid=AfmBOopDgSRDs4qdojvDArwKay1KcLoWnQ68xF101A4zHClvh6mNZOwC,https://au.linkedin.com/in/jamesmtaylor,,Australia,Sydney,3 years 6 months in company,"Company: Australian digital health platform providing online care for weight loss, men's health, hair loss, and mental health through telehealth consultations and ongoing treatment programs. | Fit: 3DLOOK FitXpress enhances Mosh's weight management and virtual care programs with AI-powered body measurements, visual progress tracking, and objective body data to monitor patient outcomes remotely."
d21adea4d88b,JoAnne Christodouleas,JoAnne,Christodouleas,"Director Operations and Enablement, Health Insurance",C-Level,Bupa Australia,https://www.bupa.com.au/,https://au.linkedin.com/in/joannechristodouleas,,Australia,Greater Melbourne Area,2 years 4 months in company,"Company: Leading Australian health insurer providing private health insurance, telehealth, primary care, aged care, dental, and preventive health services. | Fit: 3DLOOK FitXpress enhances Bupa's digital health and preventive care programs with AI-powered body measurements, remote progress tracking, and objective body data for weight management and chronic disease monitoring."
dadaa17a9ef2,Andrea Christie-David,Andrea,Christie-David,Director - Mental Health (Mindplace),C-Level,Bupa Australia,https://www.bupa.com.au/,https://au.linkedin.com/in/andreachristiedavid,,Australia,Sydney,1 year 5 months in company,"Company: Leading Australian health insurer providing private health insurance, telehealth, primary care, aged care, dental, and preventive health services. | Fit: 3DLOOK FitXpress enhances Bupa's digital health and preventive care programs with AI-powered body measurements, remote progress tracking, and objective body data for weight management and chronic disease monitoring."
a12c5d7f6e32,Pawan Verma,Pawan,Verma,Head of MarTech and Delivery,Director,Bupa Australia,https://www.bupa.com.au/,https://au.linkedin.com/in/vermapawan,,Australia,Greater Melbourne Area,1 year 5 months in company,"Company: Leading Australian health insurer providing private health insurance, telehealth, primary care, aged care, dental, and preventive health services. | Fit: 3DLOOK FitXpress enhances Bupa's digital health and preventive care programs with AI-powered body measurements, remote progress tracking, and objective body data for weight management and chronic disease monitoring."
f7e0bd83aba8,Kernow Craig,Kernow,Craig,Head of Design Digital Transformation,Director,Bupa Australia,https://www.bupa.com.au/,https://au.linkedin.com/in/kernow-craig,,Australia,Greater Sydney Area,1 year 1 month in company,"Company: Leading Australian health insurer providing private health insurance, telehealth, primary care, aged care, dental, and preventive health services. | Fit: 3DLOOK FitXpress enhances Bupa's digital health and preventive care programs with AI-powered body measurements, remote progress tracking, and objective body data for weight management and chronic disease monitoring."
a2ee480b97d8,Shona Sundaraj,Shona,Sundaraj,Group Medical Director,C-Level,Medibank,https://www.medibank.com.au/,https://au.linkedin.com/in/shona-sundaraj,,Australia,Sydney,2 years 3 months in company,"Company: Australia's leading private health insurer offering health insurance, telehealth, virtual care, and preventive health programs. | Fit: 3DLOOK FitXpress enhances Medibank's digital health services with AI-powered body measurements, remote progress tracking, and objective body data for weight management and preventive care."
403a70e472a0,Ben Vanden Boom,Ben,Vanden Boom,"Director Bupa Dental, Optical & Hearing",C-Level,Bupa Australia,https://www.bupa.com.au/,https://au.linkedin.com/in/ben-vanden-boom-071b051,,Australia,Greater Melbourne Area,8 months in company,"Company: Leading Australian health insurer providing private health insurance, telehealth, primary care, aged care, dental, and preventive health services. | Fit: 3DLOOK FitXpress enhances Bupa's digital health and preventive care programs with AI-powered body measurements, remote progress tracking, and objective body data for weight management and chronic disease monitoring."
