#,Segment,Company name,Audit status,HQ country,Market,Segment,Why wrist = must,Pain Score,Funding / revenue,Funding score,Website,E-com type,Last media mention = title + source link with anchor,Coverage score,Priority score,Notes / flags
1.0,Medical wearables,Aktiia / Hilo,Qualified,Switzerland,Global market,Wrist BP Monitor (cuffless continuous),Cuffless optical wrist band with PPG sensors. Requires monthly cuff calibration. Snug wrist contact essential — loose fit causes light leakage and motion artifacts degrading accuracy.,3.0,"Series B $42M (May 2025), total >$100M. Rebranded to Hilo. Source: https://hilo.com/en-eu/blogs/pre/hilo-42m-series-b-rebrand",3.0,https://hilo.com / https://aktiia.com,D2C,"[FDA clears first OTC cuffless blood pressure wearable — Hilo band by Aktiia](https://www.fiercebiotech.com/medtech/fda-clears-over-counter-cuffless-blood-pressure-monitor-hilo-bracelet) — FierceBiotech — Jul 9, 2025; [WIRED Review: Aktiia Hilo Blood Pressure Monitor](https://www.wired.com/review/aktiia-hilo-blood-pressure-monitor/) — Feb 27, 2026",2.0,8.0,"FILTER EDGE CASE: Passed. Series B+, FDA cleared, global (EU CE marked + US FDA). Strong contender."
2.0,Medical wearables,Cala Health,Qualified,"USA (Burlingame, CA)","Global (neurology, movement disorders, Parkinson's, essential tremor)",Wrist-worn neuromodulation device (Cala kIQ),Cala kIQ delivers TAPS therapy via electrodes positioned on median and radial nerves at the wrist; improper band tightness or electrode placement renders neurostimulation ineffective for tremor relief.,3.0,"$244M+ total raised across 6 rounds. Series D ($55M, Dec 2024) led by Baird Capital with Redmile Group, Endeavour Vision. Est. annual revenue $11-39M (2025).",2.0,https://calahealth.com,B2B (prescription-only),"FDA Clears Cala kIQ Plus for Essential Tremor and Parkinson's Disease — Neurology Live — Apr 16, 2026 — https://www.neurologylive.com/view/fda-clears-cala-kiq-plus-essential-tremor-parkinson-disease-hand-tremor",3.0,8.0,"FILTER PASS: Series D, $244M+ total raised. FDA-cleared Cala kIQ and next-gen kIQ Plus for essential tremor and Parkinson's disease. Prescription-only wearable neuromodulation. Active commercial scaling in neurology clinics. Strong clinical evidence base. High media coverage across major neuro/medtech outlets."
3.0,Medical wearables,Huawei Watch,Qualified,China,B2C,Smartwatch,"Smartwatch with advanced health sensors (HR, SpO2, ECG, body temp, blood pressure) requires exact skin contact for medical-grade accuracy; wrong fit = sensor failure",3.0,Huawei 2025 annual revenue ¥880.9B (~$126B USD) — https://www.fierce-network.com/newswire/huawei-releases-2025-annual-report,3.0,https://consumer.huawei.com/en/wearables/,DTC + Retail + Marketplace,Huawei Watch 5 review: Stunning hardware with customary excellence - Wareable - https://www.wareable.com/smartwatches/huawei-watch-5-review,3.0,9.0,"FILTER PASS: global scale, health sensors require precise fit, major media presence, massive revenue"
4.0,Watches (luxury + smartwatch),TAG Heuer,Qualified,Switzerland,Luxury,Luxury watch,Luxury Swiss watch with metal bracelet requiring professional sizing; Connected smartwatch line with HR/sports sensors needs skin contact; wrong bracelet sizing = unwearable $2K+ product,3.0,LVMH 2025 revenue €80.8B; Watches & Jewelry segment €5.09B H1 2025 — https://www.lvmh.com/en/financial-calendar/2024-full-year-results,3.0,https://www.tagheuer.com/,DTC + Retail,"Watches of Switzerland soars as wealthy Americans snap up Rolex, TAG Heuer timepieces, May 2026 - https://www.reuters.com/business/watches-switzerland-forecasts-annual-profit-above-market-view-strong-us-market-2026-05-14/?utm_source=chatgpt.com",3.0,9.0,"FILTER PASS: luxury bracelet sizing critical, public parent (LVMH), major media coverage (WSJ, Forbes, Bloomberg)"
5.0,Watches (luxury + smartwatch),Bulgari Watches,Qualified,Italy,Luxury,Luxury watch,"Jewelry-watch hybrid; Octo Finissimo with integrated bracelet — non-adjustable, must fit perfectly; serpentine bracelets need exact sizing",3.0,LVMH Watches & Jewelry €10.5B in 2025; Bulgari is a flagship jewelry/watch brand within LVMH (https://www.luxurytribune.com/en/lvmh-watches-babin-prepares-to-step-down-jean-arnault-as-natural-heir),3.0,https://www.bulgari.com/,Direct e-com,"LVMH Watch Week and Bulgari Octo Finissimo world records widely covered by Robb Report, Hodinkee, Revolution Watch (2025-2026), March 2025 - https://www.hodinkee.com/articles/introducing-bulgari-octo-finnissimo-ultra-tourbillon",3.0,9.0,Octo Finissimo line has integrated bracelets that cannot be easily resized. Integrated bracelet watch with zero adjustability = very high pain; huge LVMH scale
6.0,Watches (luxury + smartwatch),Cartier,Qualified,France,Luxury,Luxury watch,"Tank, Santos, Panthère — iconic bracelet watches; many models have integrated bracelets; wrong size = unwearable; jewelry-watch crossover",3.0,Richemont Specialist Watchmakers €3.28B revenue in 2024; Cartier is the crown jewel of Richemont's watch division (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/),3.0,https://www.cartier.com/,Direct e-com,"Richemont reports solid results for fiscal year 2024-25 — Luxus Plus, May 2025 (https://luxus-plus.com/en/richemont-reports-solid-results-for-fiscal-year-2024-25/)",3.0,9.0,"Cartier Santos and Panthère bracelets require precise fit; very high-end jewelry client. Top priority — integrated bracelet models, huge scale, premier media coverage"
7.0,Watches (luxury + smartwatch),Vacheron Constantin,Qualified,Switzerland,Luxury,Luxury watch,Overseas with integrated bracelet (must fit exactly); Patrimony and Traditionnelle on bracelets; ultra-high-end clientele,3.0,"Richemont Specialist Watchmakers €3.28B in 2024; Vacheron is one of the ""Holy Trinity"" ( https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/ )",3.0,https://www.vacheron-constantin.com/,Varies,"Vacheron Constantin Wraps Up 270th Anniversary With Diamonds — Forbes, Dec 2025 (https://www.forbes.com/sites/robertanaas/2025/12/22/vacheron-constantin-wraps-up-270th-anniversary-year-with-diamonds/)",3.0,9.0,"Overseas integrated bracelet needs exact wrist measurement for proper fit. Highest priority — integrated bracelet, Forbes coverage, holy trinity brand"
8.0,Watches (luxury + smartwatch),Chanel Watches,Qualified,France,Luxury,Luxury watch,J12 ceramic with bracelet — precise fit needed for ceramic (cannot be easily adjusted post-sale); Boy.Friend and Première bracelet sizing,3.0,Chanel total revenue $18.7B in 2024; watches & fine jewelry ~10% = ~$1.87B (https://www.chanel.com/puls-img/1747810519727-20250520fy24resultspressreleasefinalwwpdf.pdf),3.0,https://www.chanel.com/watches/,Direct e-com,"Chanel Returned to Sales Growth in 2025, Buoyed by US Demand — Bloomberg, May 2026 (https://www.bloomberg.com/news/articles/2026-05-19/chanel-returned-to-sales-growth-in-2025-buoyed-by-us-demand)",3.0,9.0,"J12 ceramic bracelet needs to be ordered in correct size; opened dedicated US watch flagship on Fifth Ave (2024). Highest priority — ceramic bracelets can't be easily adjusted, huge scale, Bloomberg/Forbes coverage"
9.0,Watches (luxury + smartwatch),Amazfit / Zepp Health,Qualified,Netherlands (HQ) / China,Health & Fitness,Smartwatch,"Smartwatch with optical HR, SpO2, bio-impedance sensors requires continuous skin contact for Zepp Coach/AI health features; wrong fit = corrupted health data",3.0,Zepp Health Q2 2025 revenue $59.4M (+46% YoY). FY2024 revenue ~$192M — https://sgbonline.com/exec-amazfit-parent-zepp-health-corp-posts-first-year-over-year-growth-since-2021/,3.0,https://www.amazfit.com/,DTC + Marketplace,"Amazfit goes all in on HYROX. Hail Mary or smart investment? — The5kRunner, Jun 2026 — https://the5krunner.com/2026/06/09/amazfit-hyrox-hail-mary/",2.0,8.0,"FILTER PASS: public company, sensor-dependent health wearable, consistent trade press coverage"
10.0,Watches (luxury + smartwatch),Mobvoi / TicWatch,Qualified,Hong Kong / China,B2C,Smartwatch,"Wear OS smartwatch with dual-display, HR/SpO2 sensors, Snapdragon chip; sensor accuracy depends on wrist fit; TicPulse/TicHealth ecosystem",3.0,"Mobvoi TTM revenue $56.4M (PitchBook). At peak, TicWatch annual sales 1B yuan — https://pitchbook.com/profiles/company/84931-57",3.0,https://www.mobvoi.com/,DTC + Marketplace,"Mobvoi scales back TicWatch presence while AI products take over — Gadgets & Wearables, Dec 2025 — https://gadgetsandwearables.com/2025/12/06/mobvoi-ai/",2.0,8.0,"FILTER PASS: public company, sensor-dependent, active trade press coverage"
