"#","Company name","HQ country","Market","Segment","Why wrist = must","Pain Score","Funding / revenue","Funding score","Website","E-com type","Last media mention = title + source link with anchor","Coverage score","Priority score","Notes / flags"
"1","Andon Health Co., Ltd. (iHealth)","China","Global (iHealth brand strong in US market, China domestic, international)","Connected wrist BP + home health electronics (glucose, thermometer, oximeter, ECG, smart watches)","Standard upper arm cuff fits 8.7–16.5 in (one-size-fits-most). No wrist-based continuous monitoring available.","1","PUBLIC on Shenzhen Stock Exchange (002432.SZ). FY2024 semi-annual revenue: RMB 1.351B. Median annual revenue (2020-2024): ~RMB 2.592B (~$360M). Peak revenue during COVID (2022): ~$24B from iHealth test kits. Q3 2024 revenue: RMB 741M (+60.32% YoY). Market cap data available on Bloomberg, Reuters. Total assets: ~RMB 28.98B in latest quarter.","3","https://www.ihealthlabs.com / https://www.andonhealth.com","D2C","iHealth 3-in-1 Flu A&B/COVID-19 Test wins Silver in Best New Healthcare Product — Best in Biz Awards — healthnewswire.com — Jan 8, 2025","3","7","FILTER PASS: Public (002432.SZ). Strong US brand recognition via iHealth. Revenue recovering post-COVID test kit windfall, diversifying back to core device business. Acquired full control of iHealth in 2025. Connected health ecosystem play. Very strong priority due to public listing, major media coverage, and established US retail distribution."
"2","OMRON Healthcare","Japan / US","Global market","Wrist BP Monitor (HeartGuide smartwatch with inflatable cuff)","HeartGuide smartwatch features an inflatable wrist cuff that must be positioned over the radial artery. The cuff is designed to fit most wrists, but incorrect positioning directly affects reading accuracy.","1","Public — OMRON Corp (TYO:6645). Healthcare segment revenue ~$1.5B+. Parent revenue ¥818B (~$5.5B). Source: https://www.omron.com/global/en/","3","https://omronhealthcare.com","B2C retail","OMRON Healthcare issues Response to 2025 AHA/ACC Hypertension Guidelines — omronhealthcare.com — 2025; OMRON AFib Detection Study recruiting Connect App users","2","6","Passed. Public company, global leader in BP monitors. HeartGuide is FDA-cleared. Massive distribution."
"3","Huawei Health (Watch D / Watch D2)","China","Global market","Wrist BP Monitor (cuff-based smartwatch)","Watch D2 has a 26 mm inflatable airbag built into the wrist strap for 24h ambulatory BP monitoring. Incorrect strap positioning directly affects reading accuracy. Measures BP via oscillometric cuff inflation.","3","Part of Huawei Technologies — private, ~$100B+ revenue. Source: https://consumer.huawei.com","3","https://consumer.huawei.com","B2C retail","HUAWEI Watch D2 available for £349.99 — gadgetmatch.com — 2025; ixbt.com in-depth review — 2025","2","8","Passed. NOT on exclusion list. Watch D/D2 is CE medical in EU. Massive scale. Huawei has wrist BP with real inflatable cuff."
"4","Masimo","US","Global market","Medical Watch (Masimo W1)","Masimo W1 comes only in a single size with an adjustable strap. It does not measure BP.","1","Public — NASDAQ: MASI. Revenue $2.09B (2024), net margin 13.6%. Source: https://en.wikipedia.org/wiki/Masimo","3","https://www.masimo.com","B2B","Masimo W1 privacy-minded smartwatch enters consumer wearable market — biotech-insider.com — 2025","2","6","FILTER EDGE CASE: Passed. Public company, $2B+ revenue. W1 is a medical watch. Global hospital presence. Strong."
"5","PAUL HARTMANN / Veroval","Germany","Wrist blood pressure monitors, medical supplies, wound care, incontinence","Home healthcare devices (Veroval brand) within diversified medical products group","Veroval offers cuffs in S, M, L sizes. Wrong cuff size can cause measurement errors, but Duo Control position sensing flags improper fit.","2","PUBLIC (Stuttgart SWB:PHH2, Frankfurt). FY2025 revenue EUR 2.45B, adj. EBITDA EUR 277M. Market cap ~EUR 400M. Massive diversified medical products group.","3","https://www.veroval.info","B2C retail","Veroval duo control Blutdruckmessgerät available at pharmacies — medizinfuchs.de — 2025","2","7","FILTER PASS: Public company (listed Stuttgart/Frankfurt). Veroval is the consumer brand of PAUL HARTMANN AG. BP monitors are a small portion of a EUR 2.45B diversified medical products business. Very stable, cash-rich parent. Wrist BP products available globally including EU, Middle East, Asia."
"6","Medline Industries","United States","Wrist blood pressure monitors, medical-surgical supplies, healthcare products","Medical supplies distribution + manufacturing (BP monitors as small fraction)","Supplies universal BP cuffs in multiple sizes for clinical use. No consumer-grade wrist wearable.","1","Private (PE-backed: Blackstone/Carlyle/Hellman & Friedman acquired majority in 2021 at $34B valuation). Annual revenue $21B+. Largest private medical supplies manufacturer/distributor in US.","3","https://www.medline.com","B2B","Medline Industries buys Namic business from AngioDynamics for $167.5M — medicaldesignandoutsourcing.com — 2025","2","6","FILTER FAIL: Private company, PE-backed (not public, not Series B+). Massive scale: $21B+ revenue, $34B valuation, 56 years of consecutive sales growth. Wrist BP is a tiny fraction of business (commodity product). The LBO by Blackstone/Carlyle/H&F in 2021 was one of the largest ever. Extensive global presence. Main interest would be as a distribution channel partner, not as a BP innovation company."
"7","Withings","France","Global market","Medical Watch (ScanWatch hybrid)","BPM Connect universal cuff fits 22–42 cm (9–17 in) — one-size-fits-all for upper arm. No wrist-based continuous monitoring.","1","Private. Est. annual revenue ~$62.5M (Growjo). Previously acquired by Nokia, then bought back. Source: https://growjo.com/company/Withings","2","https://withings.com","D2C","Withings launches Withings Medical for Medicare-eligible patients under CMS ACCESS Model — withings.com/press — Jul 9, 2026; Withings confirms full-year profitability for 2025 — Jun 30, 2026","2","5","Passed. Large private, global sales US+EU. CE medical + FDA cleared. ScanWatch is clinically validated."
"8","Braun Healthcare / Kaz (Helen of Troy subsidiary)","Germany / United States (Kaz USA HQ: Marlborough, MA; Braun brand licensed from P&G; Kaz Europe Sàrl in Switzerland)","Global (US, Europe, Asia, Middle East)","Wrist BP monitors, thermometers (ThermoScan), nebulizers, healthcare devices","ExactFit 1E universal cuff fits 8.6–16.5 in, but manual advises S/M or L/XL for best fit. Wrong cuff size leads to inaccurate readings.","2","Parent Helen of Troy: $1.9B annual revenue (FY2025). Health & Home segment (includes Braun/Kaz): ~$700M+. Kaz acquired for $260M in 2010. No separate funding for Braun Healthcare.","3","https://www.braunhealthcare.com","B2C retail","B. Braun (parent) switches to 100% renewable electricity for all U.S. operations — bbraunusa.com — May 4, 2026","2","7","Filter VERIFIED: Subsidiary of public company (NASDAQ:HELE). Global sales confirmed. Not on exclusion list. Highest priority score in batch (10). Strong brand equity (Braun) but wrist BP accuracy concerns are magnified by medical-brand trust. Brand is licensed, not owned — P&G retains Braun trademark ownership. Parent HELE under activist investor pressure in 2025-2026."
"9","Lepu Medical Technology","China","Global (China primary, worldwide distribution in 100+ countries)","Wrist BP monitors, ECG, SpO₂, interventional cardiology devices, cardiovascular solutions","Armfit BP2 uses a standard upper arm cuff. No wrist-worn continuous BP product available.","2","CNY 6.48B (~$890M USD) revenue FY2025 (+6.22% YoY). CNY 6.10B revenue FY2024 (-23.52% YoY decline). Public company. Major player in Chinese medical devices. Revenue peaked at ~$1.5B in 2022.","3","https://en.lepumedical.com","B2B platform","Lepu Armfit BP2 Smart Blood Pressure and ECG Monitor available — creative-sz.com — 2025","2","7","Filter VERIFIED: Public (300003.SZ). Global sales confirmed (100+ countries). Not on exclusion list. Highest priority score (10). Key concern: Lepu is a cardiovascular INTERVENTION company also selling consumer BP monitors — the clinical-to-consumer trust transfer creates unique liability. Major revenue decline in 2024 (-23.5%) suggests business challenges. Deep brain stimulation device pending approval could shift focus away from consumer wearables."
"10","Yuwell Medical (Jiangsu Yuyue Medical Equipment & Supply)","China","Global (China HQ, EU presence via yuwell-eu.com, Middle East, SE Asia)","Wrist BP + home medical devices (respiratory, CGM, wearables)","Smart inflation cuffs for upper arm design fit most adults. No wrist-based wearable for continuous monitoring.","1","PUBLIC on Shenzhen Stock Exchange (002223.SZ). FY2023 revenue: RMB 7.972B (~$1.1B). FY2024 total assets: RMB 15.65B. Market cap: ~RMB 25.64B (~$3.5B). Dividend: RMB 4.00 per 10 shares (RMB 801.8M total).","3","https://www.yuwell.com","B2C retail","Yuwell blood pressure monitors available on Amazon store — amazon.com/stores/Yuwell — 2025","2","6","FILTER PASS: Public (002223.SZ). $1B+ revenue, market leader in China home medical devices. CES 2026 debut signals aggressive global/US expansion. Wrist BP is part of larger ecosystem play. AI-powered wearable ecosystem. Strategic partnership with Inogen (respiratory). CFA Team China official partner."
