person_id,full_name,title,company_name,linkedin_url,decision,priority,reason,recommended_message_angle
1,Daisy Wong,Head of Security Awareness,Medibank,https://www.linkedin.com/in/daisywongcyber/,FAIL,,"Security-awareness function, not a digital-health/clinical/product decision-maker",
2,Dani Rutman,Head of Integrated Healthcare Experience,Medibank,https://au.linkedin.com/in/rutmandanielle,PASS,2,Owns integrated healthcare experience at Medibank — direct fit for member progress data in virtual/preventive programs,member-retention
3,David McHale,Program Director,Bupa Australia,https://au.linkedin.com/in/davidgmchale,WEAK,,"Generic Program Director, unclear if digital-health/clinical scope — needs Vadim judgment",digital-health-strategy
4,James Taylor,Chief Product Officer,Mosh,https://au.linkedin.com/in/jamesmtaylor,PASS,1,CPO at a weight-loss/telehealth platform — exact ICP buyer for product integration,product-integration
5,JoAnne Christodouleas,"Director Operations and Enablement, Health Insurance",Bupa Australia,https://au.linkedin.com/in/joannechristodouleas,PASS,2,Operations Director in health insurance — ICP operations buyer for intake/scale,operational-scale
6,Andrea Christie-David,Director - Mental Health (Mindplace),Bupa Australia,https://au.linkedin.com/in/andreachristiedavid,WEAK,,"Clinical program director but mental-health focus, not weight/body composition",clinical-operations
7,Pawan Verma,Head of MarTech and Delivery,Bupa Australia,https://au.linkedin.com/in/vermapawan,FAIL,,"Marketing-technology delivery role, not a digital-health/clinical buyer",
8,Kernow Craig,Head of Design Digital Transformation,Bupa Australia,https://au.linkedin.com/in/kernow-craig,FAIL,,Design-led role — excluded per hypothesis creative/design exclusion,
9,Shona Sundaraj,Group Medical Director,Medibank,https://au.linkedin.com/in/shona-sundaraj,PASS,1,Group Medical Director — top ICP clinical buyer for objective member data,clinical-operations
10,Ben Vanden Boom,"Director Bupa Dental, Optical & Hearing",Bupa Australia,https://au.linkedin.com/in/ben-vanden-boom-071b051,WEAK,,"Director but dental/optical/hearing line, not weight/body-composition programs",digital-health-strategy
11,Karen Birner,Head of Assurance and Regulatory Programs,HCF Australia,https://au.linkedin.com/in/karen-birner,WEAK,,"Regulatory/assurance function — possible privacy stakeholder, not a program buyer",data-privacy
12,John O'Driscoll,"Head of Risk - Technology, Security and Data",Medibank,https://au.linkedin.com/in/john-o-driscoll,FAIL,,"Technology/security risk role, not a product/clinical decision-maker",
13,Liam John Ward,Transformation Director Health Insurance,Bupa Australia,https://au.linkedin.com/in/liam-john-ward-a9863053,PASS,2,Transformation Director in health insurance — fits digital-health roadmap buyer,digital-health-strategy
14,Emma Harrington,Chief of - Member Experience,HCF Australia,https://au.linkedin.com/in/emma-ls-harrington,PASS,1,C-level Member Experience owner — prime ICP for retention/engagement via visible progress,member-retention
15,Paul Lo Russo,Creative | Senior Art Director,Medibank,https://au.linkedin.com/in/paullorusso,FAIL,,Creative/Art Director — explicitly excluded per hypothesis,
16,Yash Sodhi,Chief Strategy Officer,Medibank,https://au.linkedin.com/in/ysodhi,PASS,1,Chief Strategy Officer — ICP innovation/strategy buyer for digital-health differentiation,digital-health-strategy
17,Janelle McGuinness GAICD,"General Manager, Digital and Data",HCF Australia,https://au.linkedin.com/in/janelle-mcguinness-gaicd-ab1a574,PASS,2,GM Digital and Data — owns digital roadmap where structured body data would land,digital-health-strategy
18,Merryn Olifent,Head of Customer Insights and Experience Design,Medibank,https://au.linkedin.com/in/merryn-olifent,WEAK,,"Customer insights/experience-design lead, not clearly a program decision-maker",member-retention
19,Jean Jacobs,Head of Health Insights,Bupa Australia,https://au.linkedin.com/in/jean-jacobs-5898baab,WEAK,,"Health-insights/analytics role, influence but not a clear buyer",digital-health-strategy
20,David Lumb,"Chief Officer, Member Growth",HCF Australia,https://au.linkedin.com/in/david-lumb,PASS,1,C-level Member Growth — ICP buyer for acquisition/retention engagement tools,member-retention
21,Milosh Milisavljevic,Group Lead - Chief Customer Officer,Medibank,https://www.linkedin.com/in/miloshmilisavljevic/,PASS,1,Chief Customer Officer — top ICP member-experience/retention decision-maker,member-retention
22,Aarti Olsson,Head of Health Advisory,Medibank,https://au.linkedin.com/in/aartiolsson,PASS,2,Leads health advisory — clinical/wellness program owner fit for verified body data,wellness-programs
23,Lucy Chen,Head of Healthcare Programs,Bupa Australia,https://au.linkedin.com/in/lucy-chen-b0008315a,PASS,2,Head of Healthcare Programs — owns programs that would use remote body data,clinical-operations
24,Peter Coon,Head of Competitive and Market Insights,Medibank,https://au.linkedin.com/in/petercoon,FAIL,,"Market/competitive insights, not a digital-health or clinical buyer",
25,Erin Lawless,Acting GM RT Health (Division of HCF),HCF Australia,https://au.linkedin.com/in/erin-lawless-28b68239,PASS,2,GM of an HCF health division — operating leader with program authority,operational-scale
26,Dr Jonathan Brown,Medical Director - BUPA Medical,Bupa Australia,https://www.linkedin.com/in/dr-jonathan-brown/,PASS,1,Medical Director of Bupa Medical — ICP clinical buyer for objective progress data,clinical-operations
27,Nicholas Holden,Chief Marketing Officer,Mosh,https://au.linkedin.com/in/nicholasholden1,PASS,2,CMO at weight-loss telehealth — ICP growth/retention buyer for program credibility,member-retention
28,Lydia Windels,Partnership Manager - overseas,Medibank,https://au.linkedin.com/in/lydiawindels,FAIL,,"Overseas partnerships role, not a digital-health/clinical/product buyer",
29,Mads Langbjerg Larsen,Head of Strategy and Delivery ANZ,Bupa Australia,https://au.linkedin.com/in/mads-larsen,PASS,2,Head of Strategy and Delivery ANZ — strategy buyer for digital-health roadmap,digital-health-strategy
30,Adeline Chang,"Head of Technology, Dental Optical and Hearing",Bupa Australia,https://au.linkedin.com/in/adeline-chang-66a30a13,WEAK,,"Technology lead but dental/optical line — possible technical champion, wrong program",technical-integration
31,Jonno Seidler,Creative Director,Mosh,https://au.linkedin.com/in/jonnoseidler,FAIL,,Creative Director — excluded per hypothesis creative/design exclusion,
