#,Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category
1.0,‎XpertFit Backstage App - App Store,https://apps.apple.com/ro/app/xpertfit-backstage/id1591637448,en,,200.0,97.0,0.0,4.22928352E8,0.0,2.0,2.0,0.0,0.0,https://3dlook.ai/privacy-policy/,"not been verified by Apple. For more information, see the",developer’s privacy policy,,https://3dlook.me/privacy-policy/,301,text,false,0,1,0,0,0,1,,,linkfound,2026-04-28 18:34:31,2026-04-28 18:34:31,,,,
2.0,‎XpertFit Backstage App - App Store,https://apps.apple.com/al/app/xpertfit-backstage/id1591637448,en,,200.0,97.0,0.0,4.22928352E8,0.0,2.0,2.0,0.0,0.0,https://3dlook.ai/privacy-policy/,"not been verified by Apple. For more information, see the",developer’s privacy policy,,https://3dlook.me/privacy-policy/,301,text,false,0,1,0,0,0,1,,,pagefound,2026-03-23 19:17:58,2026-03-23 19:17:58,,,,
3.0,Unitard,https://ms.wikipedia.org/wiki/Unitard,,,200.0,97.0,11.0,4.591583744E9,1.0,67.0,89.0,2.0,2.0,https://3dlook.ai/content-hub/body-scanning-technology-for-apparel/,"Vioreanu, Dana (2024-03-29).","""Body Scanning Technology for Apparel""",.3DLOOK(dalam bahasa Inggeris),,,text,false,1,1,0,0,0,1,,,pagefound,2026-02-22 21:12:49,2026-02-22 21:12:49,,,Article > Wiki,Entertainment > Performing arts > Dance; Sports > Sporting goods > Other
4.0,GitHub - 3dlook-me/saia-sdk-test-purposes: Javascript SDK for SAIA Perfect Fit API,https://github.com/3dlook-me/saia-sdk-test-purposes,en,,0.0,97.0,4.4,4.7574816E7,0.0,8.0,9.0,0.0,0.0,https://3dlook.ai/saia,,3dlook.me/saia,,https://3dlook.me/saia,301,text,false,0,0,0,0,0,1,,tooold,linkfound,2025-08-07 08:43:10,2025-08-07 08:43:10,2026-04-05 07:34:42,,,
5.0,Cabines d'essayage virtuelles : fonctionnement et applications - Shopify France,https://www.shopify.com/fr/blog/cabines-d-essayage-virtuelles,fr,"ecommerce, wordpress",200.0,96.0,4.5,9818428.0,1.0,28.0,41.0,7.0,3.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,1,1,0,0,1,1,,,pagefound,2025-08-06 14:00:37,2026-05-18 00:54:52,,,Article > Guide,Shopping > Apparel > Services; Computers and electronics > Software > Utilities; Business > Retail trade > Technology; Internet > Web services > Development
6.0,가상 피팅룸이란 무엇이며 어떻게 작동하나요?(2025) - Shopify 대한민국,https://www.shopify.com/kr/blog/virtual-fitting-rooms,ko,"ecommerce, wordpress",200.0,96.0,4.5,9818428.0,0.0,28.0,41.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,1,1,0,0,0,1,,,pagefound,2025-03-15 15:05:07,2026-05-18 01:37:10,,,,
7.0,What Are Virtual Fitting Rooms and How Do They Work? (2024) - Shopify Indonesia,https://www.shopify.com/id/retail/virtual-fitting-rooms,en,,200.0,96.0,0.8,9818428.0,3.0,32.0,45.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,0,1,0,0,0,1,removedfromhtml,,pagefound,2024-07-12 17:25:12,2025-05-07 10:18:37,2025-06-03 02:41:11,,Article > Guide,Shopping > Apparel > Services; Business > Retail trade > Technology; Internet > Web services > Development
8.0,What Are Virtual Fitting Rooms and How Do They Work? (2024) - Shopify Ireland,https://www.shopify.com/ie/retail/virtual-fitting-rooms,en,,200.0,96.0,0.2,9818428.0,2.0,33.0,46.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,0,1,0,0,1,1,removedfromhtml,,pagefound,2025-01-02 13:32:39,2025-05-04 00:43:03,2025-06-07 02:13:26,,Article > Guide,Shopping > Apparel > Services; Business > Retail trade > Technology; Internet > Web services > Development
9.0,What Are Virtual Fitting Rooms and How Do They Work? (2024) - Shopify Hong Kong SAR,https://www.shopify.com/hk-en/retail/virtual-fitting-rooms,en,,200.0,96.0,0.2,9818428.0,1.0,32.0,45.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,0,1,0,0,1,1,removedfromhtml,,pagefound,2025-01-02 13:53:24,2025-05-05 08:47:48,2025-06-09 20:21:09,,Article > Guide,Shopping > Apparel > Services; Business > Retail trade > Technology; Internet > Web services > Development
10.0,What Are Virtual Fitting Rooms and How Do They Work? (2024) - Shopify Nigeria,https://www.shopify.com/ng/retail/virtual-fitting-rooms,en,,200.0,96.0,0.2,9818428.0,1.0,32.0,45.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,0,1,0,0,1,1,removedfromhtml,,pagefound,2025-01-02 17:25:19,2025-05-04 00:57:14,2025-06-07 09:44:42,,Article > Guide,Shopping > Apparel > Services; Business > Retail trade > Technology; Internet > Web services > Development
11.0,What Are Virtual Fitting Rooms and How Do They Work? (2024) - Shopify Malaysia,https://www.shopify.com/my/retail/virtual-fitting-rooms,en,,200.0,96.0,0.2,9818428.0,2.0,33.0,47.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,0,1,0,0,1,1,removedfromhtml,,pagefound,2024-07-19 00:26:14,2025-05-03 13:06:25,2025-06-06 18:26:50,,Article > Guide,Shopping > Apparel > Services; Internet > Web services > Development; Business > Retail trade > Technology
12.0,Check out this week's coolest retail technology plays — Retail Technology Innovation Hub,https://retailtechinnovationhub.squarespace.com/home/2022/2/11/check-out-this-weeks-coolest-retail-technology-plays,en,,200.0,95.0,0.0,3244866.0,0.0,15.0,48.0,0.0,0.0,https://3dlook.ai/,Dickies reports a 94% increase in conversions since implementing 3DLOOK’s,,AI powered size and fit recommendations widget on Alibaba Group’s,"https://mailtrack.io/trace/link/db88aa5543494853dc643fd3d6b7b45215ebcfa5?url=https%3A%2F%2F3dlook.me%2F&userId=5779359, https://3dlook.me/","301,301",text,false,1,0,0,0,0,1,,,linkfound,2026-03-23 13:20:00,2026-03-23 13:20:00,,,,
13.0,February: RTIH's top ten coolest retail technology plays — Retail Technology Innovation Hub,https://retailtechinnovationhub.squarespace.com/home/2022/3/1/february-rtihs-top-ten-coolest-retail-technology-plays,en,,200.0,95.0,0.0,3244866.0,0.0,14.0,44.0,0.0,0.0,https://3dlook.ai/,Dickies reports a 94% increase in conversions since implementing 3DLOOK’s,,AI powered size and fit recommendations widget on Alibaba Group’s,"https://mailtrack.io/trace/link/db88aa5543494853dc643fd3d6b7b45215ebcfa5?url=https%3A%2F%2F3dlook.me%2F&userId=5779359, https://3dlook.me/","301,301",text,false,1,0,0,0,0,1,,,pagefound,2026-03-20 09:22:42,2026-03-20 09:22:42,,,,
14.0,Best AI Outfit Planner Apps Reviewed | by Juliette Moreau | Medium,https://medium.com/@juliette_moreau_fashion/best-ai-outfit-planner-apps-reviewed-0a4fba1b4f89,en,,200.0,94.0,0.0,3.1519402E7,0.0,40.0,50.0,20.0,5.0,https://3dlook.ai/,,YourFit,— Body sizing focus only.,"https://www.3dlook.me/yourfit, https://3dlook.ai/yourfit, https://3dlook.ai/yourfit/","301,301,301",text,false,1,1,1,0,0,1,,,linkfound,2026-05-17 18:31:13,2026-05-17 18:31:13,,Juliette Moreau,,
15.0,Best AI Outfit Planner Apps Reviewed | by Juliette Moreau | Medium,https://medium.com/@juliette_moreau_fashion/best-ai-outfit-planner-apps-reviewed-0a4fba1b4f89,en,,200.0,94.0,0.0,3.1519402E7,0.0,40.0,50.0,20.0,5.0,https://3dlook.ai/yourfit/,,YourFit,— Body sizing focus only.,"https://www.3dlook.me/yourfit, https://3dlook.ai/yourfit","301,301",text,false,1,1,1,0,0,1,,,linkfound,2026-05-17 18:31:13,2026-05-17 18:31:13,,Juliette Moreau,,
16.0,Best AI Outfit Planner Apps Reviewed | by Juliette Moreau | Medium,https://medium.com/@juliette_moreau_fashion/best-ai-outfit-planner-apps-reviewed-0a4fba1b4f89,en,,200.0,94.0,0.0,3.1519402E7,0.0,40.0,50.0,20.0,5.0,https://3dlook.ai/yourfit,,YourFit,— Body sizing focus only.,https://www.3dlook.me/yourfit,301,text,false,1,1,1,0,0,1,,,linkfound,2026-05-17 18:31:13,2026-05-17 18:31:13,,Juliette Moreau,,
17.0,How Sustainability became a Core Value for Luxury Fashion | by SJ Hare | Medium,https://medium.com/@techstyleedit/how-sustainability-became-a-core-value-for-luxury-fashion-1157346650bb,en,,200.0,94.0,0.0,3.1519402E7,0.0,45.0,67.0,0.0,0.0,https://3dlook.ai/content-hub/sustainable-fashion-manufacturing/,Image Source:,3DLook,,,,text,false,1,1,1,0,0,1,,,linkfound,2025-08-25 08:29:19,2026-03-19 19:21:43,,,,
18.0,"Whitney Cathcart of 3DLOOK: How To Create A Fantastic Retail Experience That Keeps Bringing Customers Back For More | by Orlando Zayas, CEO of Katapult | Authority Magazine | Medium",https://medium.com/authority-magazine/whitney-cathcart-of-3dlook-how-to-create-a-fantastic-retail-experience-that-keeps-bringing-1bd8c278b352,en,,200.0,94.0,0.0,3.1519402E7,1.0,7.0,10.0,0.0,0.0,https://3dlook.ai/,Whitney Cathcart is the Chief Strategy Officer and Co-founder of,3DLOOK,", the creator of the world’s leading patented mobile body",https://3dlook.me/,301,text,false,1,1,1,0,1,1,,,pagefound,2026-01-21 17:22:22,2026-01-21 17:22:22,,Orlando Zayas,Article > Insights,Business > Retail trade > Technology; Shopping > Shopping portals; Internet > Web services; Computers and electronics
19.0,5 Things Your Digital Twin Can Do On Your Behalf,https://www.forbes.com/sites/jodiecook/2024/06/18/5-things-your-digital-twin-can-do-on-your-behalf/,en,,200.0,94.0,5.0,1.9016956E7,4.0,11.0,14.0,0.0,0.0,https://3dlook.ai/content-hub/virtual-clothing-try-on/,"buy next, to virtual dressing rooms (like those offered by",3DLOOK,) where you can see what clothes would look like,,,text,false,1,1,0,0,0,1,,,pagefound,2026-03-08 23:35:15,2026-05-03 09:28:33,,Jodie Cook,Article > Guide,Computers and electronics > Software > Intelligent personal assistants; Business > Business operations > Business plans; Science > Computer science > Artificial intelligence; Internet > Web services; Society
20.0,5 Things Your Digital Twin Can Do On Your Behalf,https://www.forbes.com/sites/jodiecook/2024/06/18/5-things-your-digital-twin-can-do-on-your-behalf/,en,,200.0,94.0,5.0,1.9016956E7,4.0,11.0,14.0,0.0,0.0,https://3dlook.ai/content-hub/ar-clothing-try-on-tools/,"denim products on their own, unique virtual models using 3DLOOK’s",YourFit tool,and reducing returns by 30% in the process.,,,text,false,1,1,0,0,0,1,,,pagefound,2026-03-08 23:35:15,2026-05-03 09:28:33,,Jodie Cook,Article > Guide,Computers and electronics > Software > Intelligent personal assistants; Business > Business operations > Business plans; Science > Computer science > Artificial intelligence; Internet > Web services; Society
21.0,How Retailers Like Amazon Or Walmart Tackle The Surge In Returns,https://www.forbes.com/sites/claraludmir/2023/12/05/the-billion-dollar-return-nightmare-why-retailers-are-enabling-keep-it-policies/,en,,200.0,94.0,4.4,1.9016956E7,15.0,12.0,15.0,0.0,0.0,https://3dlook.ai/,a virtual fitting room with AI-powered 3D body measurement company,3DLOOK,"to enable online shoppers to virtually try on clothes, thus",,,text,false,1,1,0,0,0,1,,,pagefound,2026-03-05 01:42:16,2026-04-22 10:21:04,,Clara Ludmir,Article > News,Business > Retail trade > Technology; Shopping > Shopping portals; Finance > Management > Portfolio
22.0,Sustainability In Fast Fashion: How Tech Can Minimize Waste,https://www.forbes.com/councils/forbestechcouncil/2022/01/31/sustainability-in-fast-fashion-how-tech-can-minimize-waste/,en,,200.0,94.0,0.0,1.9016956E7,6.0,11.0,16.0,0.0,0.0,https://3dlook.ai/blog/7-emerging-technologies-for-sustainable-fashion-production-in-2022/,• Remember the value of reselling quality garments: Another way to,use tech to increase sustainability,in fast fashion is to create options for reselling. This,https://3dlook.me/blog/7-emerging-technologies-for-sustainable-fashion-production-in-2022/,301,text,false,1,1,0,0,0,1,,,linkfound,2026-04-26 21:20:47,2026-04-26 21:20:47,,Andreas Hassellöf,Article > Guide,Science > Technology > Other; Business; Shopping; Computers and electronics; Home
23.0,Sustainability In Fast Fashion: How Tech Can Minimize Waste,https://www.forbes.com/councils/forbestechcouncil/2022/01/31/sustainability-in-fast-fashion-how-tech-can-minimize-waste/,en,,200.0,94.0,0.0,1.9016956E7,6.0,11.0,16.0,0.0,0.0,https://3dlook.ai/content-hub/7-sustainable-fashion-technologies/,• Remember the value of reselling quality garments: Another way to,use tech to increase sustainability,in fast fashion is to create options for reselling. This,"https://3dlook.me/blog/7-emerging-technologies-for-sustainable-fashion-production-in-2022/, https://3dlook.ai/blog/7-emerging-technologies-for-sustainable-fashion-production-in-2022/, https://3dlook.me/content-hub/7-emerging-technologies-for-sustainable-fashion-production-in-2022/, https://3dlook.ai/content-hub/7-emerging-technologies-for-sustainable-fashion-production-in-2022/","301,301,301,301",text,false,1,1,0,0,0,1,,,linkfound,2026-04-26 21:20:47,2026-04-26 21:20:47,,Andreas Hassellöf,Article > Guide,Science > Technology > Other; Business; Shopping; Computers and electronics; Home
