#|Company name|HQ country|Market|Segment|Why wrist = must|Pain Score|Funding / revenue|Funding score|Website|E-com type|Last media mention = title + source link with anchor|Coverage score|Priority score|Notes / flags
52|Apple Inc. (Apple Watch)|United States|Global market|Consumer smartwatch with FDA-cleared health features (ECG, AFib, sleep apnea, hypertension)|Apple Watch Series 10 uses a wrist-worn optical sensor array for ECG, blood oxygen, and temperature sensing. A secure, consistent band fit is critical — loose bands cause optical sensor gap leading to false readings. The hypertension notification feature (FDA-cleared Sep 2025) relies on overnight wrist-based pulse wave analysis over 30 days.|3|PUBLIC (NASDAQ:AAPL). FY2024 revenue $391B. Apple Watch cumulative revenue surpassed $100B (Counterpoint Sep 2025). Watch is part of Wearables segment (~$39B annual). Market cap >$3T.|3|https://www.apple.com/apple-watch/|B2C retail (D2C + retail stores)|Apple Watch hypertension detection feature receives FDA clearance — CNET / Newsweek — Sep 12, 2025 — https://www.cnet.com/tech/mobile/the-fda-clears-the-apple-watch-for-hypertension-alerts/|3|9|FILTER PASS: Public company (NASDAQ:AAPL). $391B revenue. FDA-cleared health features on Apple Watch (ECG, AFib history, sleep apnea, hypertension detection). Largest smartwatch maker globally by revenue. Hypertension feature uses PPG-based pulse wave analysis without inflatable cuff.
53|Samsung Electronics (Galaxy Watch)|South Korea|Global market|Consumer smartwatch with BP monitoring (wellness, not FDA-cleared)|Galaxy Watch uses a PPG optical sensor to estimate blood pressure after calibration with a traditional cuff. The watch band must be worn snugly one finger-width above the wrist bone — incorrect positioning directly causes inaccurate BP readings. Samsung explicitly states it is "not intended for medical use."|3|PUBLIC (KRX:005930). FY2024 consolidated revenue KRW 301T (~$210B). Device eXperience (DX) segment revenue KRW 188T (~$131B). Galaxy Watch is key wearable product. Market cap ~$280B.|3|https://www.samsung.com/us/watches/|B2C retail (D2C + retail stores)|Samsung's Blood Pressure Monitoring feature now available to U.S. users in Samsung Health — Samsung Newsroom — Apr 29, 2026 — https://news.samsung.com/us/samsung-blood-pressure-monitoring-feature-available|3|9|FILTER PASS: Public company (KRX:005930). $210B+ revenue. Galaxy Watch BP monitoring launched in US Apr 2026 (classified as wellness, not medical device, no FDA clearance). Huge global distribution reach. BP monitoring requires recalibration with traditional cuff every 28 days.
54|Garmin Ltd.|Switzerland / US|Global market|Fitness/health smartwatches (Venu, Fenix, Forerunner series)|Garmin watches use wrist-based optical heart rate and Pulse Ox sensors. The watch must be worn snugly above the wrist bone — movement or loose fit causes optical noise and data gaps. Garmin's Elevate V5 sensor is sensitive to band tension for accurate HR, SpO₂, and Body Battery readings.|3|PUBLIC (NYSE:GRMN). FY2024 revenue $6.3B (+20% YoY). Fitness segment revenue ~$1.8B. Net income $1.6B. Market cap ~$40B. 22,000+ employees.|3|https://www.garmin.com|B2C retail (D2C + retail stores)|Garmin announces record revenue and $1.6 billion operating income in 2024 — road.cc — Feb 20, 2025 — https://road.cc/content/news/garmin-announces-record-revenue-and-operating-income-2024-312711|3|9|FILTER PASS: Public company (NYSE:GRMN). $6.3B revenue. No FDA-cleared medical features (consumer fitness/wellness). Garmin Health B2B division works with clinical research. BP monitoring available via Index BPM (upper arm cuff, not wrist). Strongest in outdoor/fitness watch segment.
55|Xiaomi Corporation|China|Global market|Smart bands (Mi Band) and smartwatches with health tracking|Xiaomi's Mi Band and smartwatches use wrist-based PPG sensors for heart rate, SpO₂, and sleep tracking. Correct band tension is essential — the Mi Band's lightweight design (13g) causes frequent slippage. Loose bands result in sensor lift-off, invalidating optical measurements and creating false health trend data.|2|PUBLIC (HKEx:1810). FY2024 revenue RMB 365.9B (~$50B USD, +35% YoY). IoT & Lifestyle Products segment (includes wearables) revenue RMB 104.2B (~$14.4B). Global wearable band shipments tied with Apple for #1 in Q3 2024 (Canalys).|3|https://www.mi.com/global/wearables/|B2C retail (D2C + marketplace)|Global wearable band market: Xiaomi ties with Apple for top spot in Q3 2024 — Canalys / TelecomLead — Dec 4, 2024 — https://telecomlead.com/electronics/global-wearable-band-market-xiaomi-ties-with-apple-for-top-spot-119273|2|7|FILTER PASS: Public company (HKEx:1810). ~$50B revenue. No medical certification (consumer wellness only). Primarily basic bands (Mi Band) at low price points ($30-60). Large global volume but limited health accuracy.
56|Zepp Health Corp. (Amazfit)|United States / China|Global market|Smartwatches with BP monitoring (Amazfit Balance, Cheetah, Falcon)|Amazfit watches use Zepp PAI health assessment system with optical HR/SpO₂. Some models (Amazfit Balance) offer cuffless BP monitoring via optical sensors. The one-piece silicone band must fit perfectly — undersizing causes skin irritation; oversizing causes sensor drift. BP measurement accuracy depends on consistent watch placement at heart level during reading.|3|PUBLIC (NYSE:ZEPP). FY2025 revenue ~$205M (Amazfit-branded products +50.9% YoY). Q4 2025 revenue $71.5M. Net loss $11M. Market cap ~$50M. Has struggled with profitability but growing revenue.|2|https://www.amazfit.com|D2C + marketplace (Amazon)|Zepp Health Corporation Reports Fourth Quarter and Full Year 2025 Unaudited Financial Results — PRNewswire — Mar 16, 2026 — https://www.prnewswire.com/news-releases/zepp-health-corporation-reports-fourth-quarter-and-full-year-2025-unaudited-financial-results-302714084.html|2|7|FILTER PASS: Public company (NYSE:ZEPP). ~$205M annual revenue. Formerly Huami. BP monitoring on select models (not FDA cleared). Strong global distribution. Small market cap but publicly traded.
57|Oura Health (ŌURA)|Finland / US|Global market|Smart ring for health tracking (sleep, HRV, temperature, menstrual health)|Oura Ring uses optical PPG sensors on the finger (not wrist) for continuous HR, HRV, body temperature sensing. Finger-based ring sizing is critical — a size too large causes sensor misalignment and pulse dropout; too small causes venous congestion, affecting HR accuracy and comfort during sleep tracking. Sizing kit includes 7-8 sizes per hand.|3|Series D $200M (Dec 2024) at $5.2B valuation (Fidelity, Dexcom). Series E $900M (Oct 2025) — total raised >$1.2B. Estimated $300M+ ARR (2025). Valuation ~$10B+. FDA cleared for AFib detection.|2|https://ouraring.com|D2C (own site) + retail|Oura closes $200M round, bringing its valuation to $5.2B — TechCrunch — Dec 19, 2024 — https://techcrunch.com/2024/12/19/oura-closes-200m-round-bringing-its-valuation-to-5-2b/|3|8|FILTER VERIFIED: Series D $200M, Series E $900M. $5.2B+ valuation. Smart ring (finger, not wrist) with FDA-cleared AFib detection. Partnership with Dexcom for glucose data integration. Strong D2C model. Pre-IPO rumored. Sizing kit included — ring fit is critical.
58|WHOOP Inc.|United States|Global market|Screenless fitness band for recovery, strain, sleep monitoring|WHOOP Strap uses wrist-based optical HR, HRV, respiratory rate, and skin temperature sensors. The proprietary woven band must be worn 1-2 inches above the wrist bone — too loose causes optical noise and data dropouts; too tight restricts blood flow and distorts HRV readings. Band fit is the #1 cause of data quality issues per WHOOP support docs.|3|Series G $575M (Mar 2026) at $10.1B valuation. Total funding ~$979M across 8 rounds. $1.1B ARR (2025). Cash flow positive since 2025. Series F $200M (2021) at $3.6B valuation. Series E $100M (2020).|3|https://www.whoop.com|D2C subscription ($30/month)|Whoop lands $575 million as valuation jumps past $10 billion — Gadgets & Wearables / Bloomberg — Mar 31, 2026 — https://gadgetsandwearables.com/2026/03/31/whoop-fund-raising/|3|9|FILTER VERIFIED: Series G $575M at $10.1B valuation. $1.1B ARR. No medical/BP features but strong health tracking. Screenless band. Preparing for IPO. Unique subscription model (no hardware sale). Not FDA-cleared but used in clinical research studies.
59|AliveCor Inc. (KardiaMobile)|United States|Global market|Personal ECG devices (KardiaMobile, KardiaMobile 6L, KardiaMobile 12L)|KardiaMobile is a handheld/wrist-strap ECG device (not continuous wrist wearable). The KardiaMobile Card (wrist-worn form factor) requires the user to place both thumbs on electrodes — wrist fit is not about band size but electrode contact. However, KardiaBand (discontinued Apple Watch band) required correct wrist tension for signal quality.|2|Series E $65M (2022, led by OMRON). Total raised ~$350M+. Revenue estimated $75-100M+. FDA cleared. Omron (public TYO:6645) is major investor. Profitable per CEO (2024 interview).|2|https://www.alivecor.com|D2C + B2B (pharma, enterprise)|AliveCor Closes $65 Million Series E Financing to Accelerate Growth — GS MedTech — 2022 — https://www.gsmedtech.com/GS/NewsDetails/AliveCor-Closes-US-65-Million-Financing-to-Accelerate-Growth-of-Its-Remote-Cardiology-Platform|2|6|FILTER VERIFIED: Series E $65M, total $350M+. Not a wrist wearable per se — handheld ECG device. KardiaBand (discontinued) was Apple Watch strap. FDA cleared. Entered cardiology enterprise with Kardia 12L. Omron (public) strategic investor.
60|DarioHealth Corp.|United States / Israel|Global (US, Israel, EU, Australia, NZ)|Digital therapeutics platform for chronic conditions (diabetes, hypertension, weight, MSK, behavioral)|DarioHealth's digital platform integrates with Bluetooth-connected BP monitors (upper arm cuff), glucose meters, and smart scales — not a wrist-worn wearable. The BP monitoring component uses a standard adjustable cuff (22-42 cm), which is a one-size-fits-most design. No wrist-based continuous measurement.|1|PUBLIC (NASDAQ:DRIO). FY2024 revenue $27.0M (+32.9% YoY). B2B2C revenue growing 300%+. Market cap ~$50M. Net loss narrows. Raised $25.6M in 2024. Public since 2021 via SPAC.|2|https://www.dariohealth.com|B2B2C (employers, health plans)|DarioHealth Reports Fourth Quarter and Full Year 2024 Financial Results — PRNewswire — Mar 10, 2025 — https://www.prnewswire.com/news-releases/dariohealth-reports-fourth-quarter-and-full-year-2024-financial-and-operating-results-302396845.html|2|5|FILTER PASS: Public (NASDAQ:DRIO). $27M revenue. Digital health platform. No wrist wearable — integrates with existing BP cuffs and glucose monitors. Small cap but public. Worth including as digital health platform with wearable integration.
61|Dexcom Inc.|United States|Global market|Continuous glucose monitor (CGM) — G7 wearable sensor|Dexcom G7 is a CGM sensor worn on the upper arm or abdomen — not a wrist-worn device. CGM sensor adhesion and placement matter for accuracy, but wrist sizing is not relevant. Dexcom invested $75M in Oura (smart ring) for glucose-ring integration, connecting wrist/finger wearables to CGM data.|1|PUBLIC (NASDAQ:DXCM). FY2024 revenue $4.5B (+8% YoY). Net income ~$700M. Market cap ~$40B. G7 is fastest-growing product. 40M+ users globally. CGM market leader with Abbott.|3|https://www.dexcom.com|B2B (pharmacy, DME) + D2C|Dexcom Reports Fourth Quarter and Fiscal Year 2024 Financial Results — Dexcom Investor Relations — Feb 13, 2025 — https://investors.dexcom.com/news/news-details/2025/Dexcom-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Financial-Results/|3|7|FILTER PASS: Public (NASDAQ:DXCM). $4.5B revenue. CGM wearable (upper arm, not wrist). Strategic investment in Oura ($75M for glucose-ring integration). No wrist-worn product. Important as wearable health sensor giant partnering with wrist wearables.
