company_name,website,linkedin_url,hq_country,hq_city,employees,revenue_estimate,fit_score_1_to_5,fit_reason,source_url,notes
Future,https://future.co,https://www.linkedin.com/company/future-fit,USA,"San Francisco, CA",773,"$108M total raised (funding, not revenue)",5,"Human-coach subscription app whose entire value prop is personalized progress, close to a direct plug-in for verified body-composition data at a premium price point ($150/mo).",https://tracxn.com/d/companies/future/__xLWFfIQZrq1Z7nhPZ_9SFhbTvhNNISaxZIZN208YvYA,"Employee count and funding total consistent across PitchBook/Tracxn. Revenue not disclosed (private co)."
Noom,https://noom.com,https://www.linkedin.com/company/noom-inc-,USA,"New York, NY","1183-1210 (source-conflict)","~$400M (range $200M-$500M across sources)",5,"Mass-scale weight-management subscription app already adjacent to GLP-1 tracking; body composition is the next differentiator against cheaper GLP-1 companion apps.",https://sacra.com/c/noom/,"Target a specific product/growth team given scale, not the whole company. Revenue figures vary widely by source."
Ladder,https://joinladder.com,https://www.linkedin.com/company/ladder-app,USA,"Austin, TX","61-62 (source-conflict)","Not disclosed; $127-135M total raised (funding, not revenue, source-conflict)",4,"Strength-training subscription app that just closed $90-100M+ in fresh growth capital (2024/2025) - a genuine 'why now' scaling/retention-pressure trigger.",https://www.businesswire.com/news/home/20241120017577/en/Ladder-Secures-Over-$100-Million-in-New-Funding-to-Scale-1-Strength-Training-App,"Revenue not disclosed. Funding figure varies slightly by source ($127M vs $135M)."
WW International (WeightWatchers / WeightWatchers Clinic),https://www.ww.com,https://www.linkedin.com/company/weight-watchers,USA,"New York, NY","3500-4850 (source-conflict)","~$650M+ annualized (Q2 2026 quarterly revenue $162.3M per SEC 8-K)",5,"Public company undergoing an explicit clinical/GLP-1 transformation (acquired Sequence 2023, rebranded WeightWatchers Clinic) - textbook 'prove body-composition outcomes, not just scale weight' fit.",https://www.sec.gov/Archives/edgar/data/0000105319/000119312526335047/d15116dex991.htm,"Large public co - target the WeightWatchers Clinic digital product team specifically. Employee count varies by source."
Calibrate,https://www.joincalibrate.com,https://www.linkedin.com/company/calibrate-health,USA,"New York, NY",370,"$69.7M (2025)",5,"Metabolic-health/GLP-1 subscription program marketing a durable-weight-loss outcomes claim - independently verified body composition directly supports that claim.",https://getlatka.com/companies/joincalibrate.com,"Revenue figure from Latka; employee count from PrivCo estimate."
Found,https://www.joinfound.com,https://www.linkedin.com/company/found-health,USA,"San Francisco, CA",159,"Not disclosed; $132M total raised (funding, not revenue)",5,"GLP-1 + coaching + community weight-loss platform - multi-pillar model close to the hypothesis's inspiration pattern; lean-mass preservation proof point would differentiate vs. drug-only competitors.",https://techcrunch.com/podcast/weight-health-startup-found-comes-out-of-stealth-with-32m-in-funding-former-bumble-exec-as-new-ceo/,"Revenue not disclosed (private co, series A/B stage)."
Ro,https://ro.co,https://www.linkedin.com/company/ro-co,USA,"New York, NY","1400-1419 (source-conflict)","Estimated $100-500M (unverified precise figure)",4,"Large-scale telehealth platform with a major GLP-1 prescribing vertical; primarily an ICP segment-1 (Telehealth/GLP-1) company but included per this hypothesis's wider GLP-1-companion-app net.",https://pitchbook.com/profiles/company/181114-30,"Revenue range wide/unverified. Lead with weight-management angle, not general digital-fitness pitch."
Tonal,https://www.tonal.com,https://www.linkedin.com/company/tonal,USA,"San Francisco, CA",397,"$203.7M (2026)",4,"Connected-fitness smart-gym hardware + coaching subscription; named ICP §8 example. Granular strength-progress tracking already core to the product - body-composition data is an on-brand extension.",https://pitchbook.com/profiles/company/125615-62,"Hardware + software combo, not a pure-hardware anti-case (has a software coaching layer)."
Personify Health (formerly Virgin Pulse),https://www.personifyhealth.com,https://www.linkedin.com/company/personifyhealth,USA,"Providence, RI","2139-2328 (source-conflict)","$62.8M-$267.9M (source-conflict, likely reflects pre/post-merger reporting)",4,"Employer/health-plan wellness platform with a consumer member app; named ICP §4/§8 example (icp-detail.md cites 'Bupa Rewards' as the benchmark this segment aspires to) - biometric-milestone verification is a direct product fit.",https://pitchbook.com/profiles/company/103474-90,"Buyer is an enterprise wellness/product team, not a founder. Revenue figures conflict sharply - verify before sizing."
Peloton (digital),https://www.onepeloton.com,https://www.linkedin.com/company/peloton-interactive,USA,"New York, NY",2145,"$2.45B TTM (Mar 2026)",4,"Named ICP §8 example ('Peloton (digital)'); 5th consecutive year of revenue decline (2026) is a real differentiation/retention-pressure trigger specifically for the digital-only subscription tier.",https://backlinko.com/peloton-users,"Public co (NASDAQ: PTON). Target the digital-only tier product/growth org, not hardware/connected-fitness side."
Fitbod,https://fitbod.me,https://www.linkedin.com/company/fitbod,USA,"San Francisco, CA","11-56 (source-conflict)","Not disclosed; $4.7M total raised (funding, not revenue)",4,"AI workout-planning subscription app, named ICP §8 example and in fx-digital-fitness.md - small team, good founder/CPO-level entry point for a first conversation.",https://tracxn.com/d/companies/fitbod/__4F_MsJHtAtUIh0UvlqHu-2DPgEsqsflqqOw1Nhr7rjM,"Employee count varies widely by source (11-50 vs 56). Revenue unverified - meeting the $1M+ ARR floor is plausible but not confirmed."
Echelon Fitness,https://echelonfit.com,https://www.linkedin.com/company/echelon-fit,USA,"Chattanooga, TN",246,"$75M (Sep 2025)",3,"Connected-fitness hardware (bikes/rowers/mirrors) + app subscription in a crowded market facing differentiation pressure vs. Peloton/Tonal.",https://www.bloomberg.com/profile/company/1856619D:US,"Hardware + software layer, not a pure-hardware anti-case."
Hydrow,https://hydrow.com,https://www.linkedin.com/company/hydrow,USA,"Boston/Cambridge, MA","100-250 (source-conflict, ~127 most cited)","$51.8M",3,"Connected rowing hardware + coaching subscription app; body-metrics tracking not currently shipped, would be a genuine new-feature pitch.",https://www.konaequity.com/company/hydrow-4019760384/,"$320M total raised historically; revenue figure ($51.8M) may undercount given funding scale - flagged, not resolved."
Trainwell,https://www.trainwell.net,https://www.linkedin.com/company/trainwellfitness,USA,"Pittsburgh, PA (fully remote)",87,"Not disclosed; $15.9M-$18.5M total raised (funding, not revenue, source-conflict)",4,"Human-coach-led personal training subscription app - progress photos already core to the coaching workflow, so verified body-composition data is a natural upgrade, not a stretch.",https://www.forbes.com/profile/trainwell/,"Revenue not disclosed (private, Series A+ stage)."
MyFitnessPal,https://www.myfitnesspal.com,https://www.linkedin.com/company/myfitnesspal,USA,"San Francisco, CA (also cited Austin, TX)","148-264 (source-conflict)","Estimated $100-500M (unverified)",3,"Nutrition/calorie-logging app with shallow existing weight tracking - textbook 'natural next feature' pattern the hypothesis targets.",https://techcrunch.com/?p=2068026,"Owned by Francisco Partners (PE, bought from Under Armour for $345M in 2020) - expect a slower, more structured sales cycle."
Strava,https://www.strava.com,https://www.linkedin.com/company/strava-inc-,USA,"San Francisco, CA","964-978 (source-conflict)","$415M-$500M (2025, source-conflict)",2,"Large-scale activity-tracking/social fitness subscription app - weaker direct fit since core product is GPS/activity tracking, not body-composition centric.",https://sacra.com/c/strava/,"Would be a differentiation/expansion pitch rather than a plug-in feature; body metrics are not part of Strava's current product identity."
BODi (The Beachbody Company),https://www.bodi.com,https://www.linkedin.com/company/beachbody,USA,"El Segundo, CA","Unverified (public co, employee count not found in search)","$233.65M TTM (mid-2026)",3,"Public fitness-content + nutrition subscription company with body-transformation programs already central to its marketing - progress visualization is on-brand.",https://stockanalysis.com/stocks/bodi/revenue/,"Public co (NYSE: BODI). Employee count not confirmed via search - flagged unverified rather than estimated."
iFIT (incl. NordicTrack),https://www.ifit.com,https://www.linkedin.com/company/ifit---fitness-technology,USA,"Logan, UT","1474-2400 (source-conflict)","$504.1M (2026); one source's $5B figure rejected as an implausible outlier",3,"Large connected-fitness hardware (treadmills/bikes) + app subscription combo - body-composition tracking not currently a named feature, so this is a new-feature pitch.",https://pitchbook.com/profiles/company/42874-57,"Revenue figures conflict by an order of magnitude across sources; used the more plausible $504.1M figure and explicitly rejected the $5B outlier."
Whoop,https://www.whoop.com,https://www.linkedin.com/company/whoop,USA,"Boston, MA",1538,"$1.1B ARR (2025)",2,"Wearable hardware + mandatory software subscription - included as an adjacent benchmarking reference per instructions, not a direct fit: Whoop's metrics are recovery/strain/sleep, not photo-based body composition.",https://sacra.com/c/whoop/,"ADJACENT, NOT DIRECT FIT - flagged explicitly per task instructions. Different metric category than FitXpress body-composition output."
Caliber,https://www.joincaliber.com,https://www.linkedin.com/company/caliberstrong,USA,"New York, NY","7-18 (one conflicting source cites 51-200, likely stale)","Unverified; $2.2M total raised (seed, 2020, no further rounds found)",2,"Strength-coaching subscription app - vertical fit is fine but team size and lack of follow-on funding since 2020 raise real doubt about clearing the $1M+ ARR floor.",https://techcrunch.com/2020/10/13/caliber-with-2-2-million-in-seed-funding-launches-a-fitness-coaching-platform,"Revenue unverified. No funding activity found since 2020 - flag before prioritizing."
Aaptiv,https://www.aaptiv.com,https://www.linkedin.com/company/aaptiv,USA,"New York, NY","21-90 (source-conflict, trending down)","Not disclosed; $75.5M total raised (funding, not revenue)",2,"Was a D2C audio-fitness subscription app; pivoted Feb 2026 to enterprise MSK health (AaptivMSK w/ movr) for employers - weaker pure-D2C fit than at first glance, though still fits a corporate-wellness reading of ICP §8.",https://www.globenewswire.com/news-release/2026/02/19/3241342/0/en/Aaptiv-Launches-New-MSK-App-in-Partnership-With-movr.html,"BUSINESS-MODEL PIVOT FLAG: 2026 strategic shift toward employer/enterprise MSK, away from pure consumer app. Acquired by Pear Sports in 2021."
FitOn,https://www.fitonapp.com,https://www.linkedin.com/company/fitonapp,USA,"Los Angeles, CA",113,"Estimated only $100K-$5M despite $124-134M total raised (source-conflict, revenue figure inconsistent with funding scale)",2,"Free/ad-supported + subscription fitness app - ad-supported freemium model raises real doubt about a $1M+ subscription ARR specifically.",https://www.owler.com/company/fitonapp,"Revenue figure unverified and inconsistent with funding scale - treat with caution before prioritizing."
obé Fitness,https://obefitness.com,https://www.linkedin.com/company/ob%C3%A9-fitness,USA,"Brooklyn, NY",119,"~$1M (2025, single unverified source)",2,"Subscription live/on-demand fitness class platform - revenue sits right at the hypothesis's $1M+ floor on a single unverified source, treat as borderline.",https://www.privco.com/company/ob-fitness,"Revenue figure from a single source only - not independently corroborated."
Jefit,https://www.jefit.com,https://www.linkedin.com/company/jefit,USA,"Sunnyvale, CA","16-18","$3M (bootstrapped, profitable, no external funding)",2,"Workout-tracking/logging subscription app - revenue clears the floor but the team is tiny and likely founder-run; standard CPO/VP Engagement buyer titles may not exist here.",https://growjo.com/company/Jefit,"Fully bootstrapped, no funding rounds. Default outreach to Founder/CEO given team size."
V Shred,https://www.vshred.com,https://www.linkedin.com/company/vshred,USA,"Las Vegas, NV","219-252 (2026)","Conflicts sharply: $5.9M vs. $100-250M range across sources",2,"Fitness/nutrition coaching subscription with a heavy performance-marketing acquisition model - vertical fit is plausible but revenue conflict is unusually wide.",https://rocketreach.co/v-shred-profile_b456f4cefca757e2,"Revenue conflict is the widest on this list - verify via Sales Navigator or company disclosure before sizing. Marketing-led model may mean a growth-marketing buyer, not product."
Shotsy,https://shotsyapp.com,https://www.linkedin.com/company/shotsy,USA,"Salem, OR (per Tracxn; unconfirmed via a second source)","Unverified (very small team implied, founded 2024)","$1M revenue run rate (2026); $2.25M total raised (seed, Feb 2025)",3,"Subscription GLP-1 shot-tracking app - textbook GLP-1-companion-app pattern and sits right at the $1M ARR floor, but the company is very young/small.",https://app.dealroom.co/companies/shotsyapp_com,"High strategic fit, low certainty on durability/budget given company age (founded 2024) and small size."
Lose It! (FitNow, Inc.),https://www.loseit.com,https://www.linkedin.com/company/fitnow,USA,"Boston, MA","58-64 (source-conflict)","Not disclosed (owned by Everyday Health Group / Ziff Davis, acquired 2022)",3,"Calorie-tracking/weight-loss subscription app with existing weight tracking - shallow body-composition depth is a natural next-feature opportunity.",https://www.linkedin.com/posts/patrickwetherille_leading-weight-loss-food-and-nutrition-app-activity-6947186110217273345-dYTI,"Acquired by Everyday Health Group/Ziff Davis in 2022 (4 years ago, not 'recent' per the anti-case window) - buyer conversation likely runs through the parent's product org."
