#,company_name,website,hq_city,hq_country,segment,app_first,subscription_model,progress_tracking_today,icp_fit,fit_rationale,flags,verification,source_url,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at
1,LighterLife,https://www.lighterlife.com/,Harlow,England,Meal-replacement weight management,Yes (app + online groups),Yes (weekly food packs + counselling),Weekly weigh-in with a counsellor,Medium,"Remote members on a structured programme with a recurring weigh-in ritual, which is the exact moment a non-scale signal has to land",Small business; product team size unknown,verified-live,https://www.lighterlife.com/,200,LighterLife | The Best Diet Programme to Lose Weight Fast,none-on-homepage,cancel anytime; plan,USA,,2026-09-02T16:34:48Z
2,Cambridge Weight Plan (The 1:1 Diet),https://www.one2onediet.com/,Northamptonshire,England,Meal-replacement weight management,Partial (client app + consultant tools),Yes (consultant-led programme),In-person measurement by an independent consultant,Medium,"Consultants already take tape measurements, and central HQ owns the app the consultants work through",Franchise/consultant network; buyer sits at HQ not at the point of measurement,blocked:js-challenge,https://www.one2onediet.com/,403,Just a moment...,,,,,2026-09-02T16:34:48Z
3,Lose It!,https://www.loseit.com/,Boston,USA,Calorie tracking app,Yes (iOS/Android),Yes (freemium + Premium),Self-reported weight and photo logging,Exclude,US-HQ so product decisions are not reachable from a UK LinkedIn campaign,geo: route to `nick` (USA),verified-live,https://www.loseit.com/,200,Lose It! - Weight Loss That Fits,none-on-homepage,,,,2026-09-02T16:34:48Z
4,Lifesum,https://lifesum.com/,Stockholm,Sweden,Nutrition and habit app,Yes (iOS/Android),Yes (Premium),Self-reported weight and habit streaks,Exclude,Sweden-HQ so it fails the UK profile filter,geo: route to `olena` (Europe),blocked:no-title-js-shell,https://lifesum.com/,200,,,,,,2026-09-02T16:34:48Z
5,MyFitnessPal,https://www.myfitnesspal.com/,San Francisco,USA,Calorie tracking app,Yes (iOS/Android),Yes (Premium),Self-reported weight and measurements,Exclude,US-HQ under Francisco Partners so the roadmap owner is not in the UK,geo: route to `nick` (USA),verified-live,https://www.myfitnesspal.com/,200,Calorie Tracker & BMR Calculator to Reach Your Goals | MyFitnessPal,ios+android,a month; monthly; subscription; per week,,,2026-09-02T16:34:48Z
6,PureGym,https://www.puregym.com/,Leeds,England,Low-cost gym chain,Yes (PureGym app),Yes (monthly membership),App workout tracking; body composition not standard,High,"Largest UK member base with a central digital product team and a retention number, and the app is the member surface already",PE-owned; enterprise procurement likely,verified-live,https://www.puregym.com/,200,Cheap 24 Hour Gym Memberships UK | No Contract | PureGym,ios+android,per month; a month; cancel anytime; plan,England; London; Scotland; Wales,,2026-09-02T16:34:48Z
7,EasyGym,https://www.easygym.co.uk/,London,England,Low-cost gym chain,Partial,Yes (monthly membership),Minimal digital tracking,Low,UK geo passes but the chain is small and the digital surface is thin,Brand licensed from easyGroup; limited product capacity,verified-live,https://www.easygym.co.uk/,200,Home - easyGym,none-on-homepage,per month; a month; monthly,England; London; USA,,2026-09-02T16:34:48Z
8,Fitness First UK,https://www.fitnessfirst.co.uk/,Unknown,England (status unclear),Health club chain,Unknown,Yes (monthly membership),Unknown,Exclude,"DW Fitness First went into administration in 2020 and most UK clubs closed or changed hands, so there may be no UK entity to sell into",viability: confirm a live UK operating company before any outreach,verified-live,https://www.fitnessfirst.co.uk/,200,"Fitness First | Gyms, PTs, and Fitness Classes",ios+android,,England; London; Manchester,"Registered office:Whelco Place Enfield Street, Industrial Estate, Pemberton, Wigan, Greater Manchester, WN5 8DB © Fitness First Ltd 2026 00 Days : 00 Hours : 00 Mins : 00 Secs E",2026-09-02T16:34:48Z
9,David Lloyd Clubs,https://www.davidlloyd.co.uk/,Hatfield,England,Premium health clubs,Yes (David Lloyd app),Yes (monthly membership),In-club assessments including body composition at some sites,High,"Premium members, a central product team, and an existing in-club body composition offering that makes this a displacement conversation rather than a cold one",Owned by TDR Capital; check for an existing scanner or scale partnership first,verified-live,https://www.davidlloyd.co.uk/,200,David Lloyd Clubs | Europe's leading health and wellness group,ios+android,,United Kingdom; Germany,Company No. 1516226,2026-09-02T16:34:49Z
10,Gymbox,https://www.gymbox.com/,London,England,Boutique gym chain,Partial,Yes (monthly membership),Minimal digital tracking,Medium-Low,UK geo and a distinctive brand but roughly ten sites and a small product team,Budget likely below the entry tier,verified-live,https://gymbox.com/,200,Gymbox | 10 London Gyms. 70+ Classes. Book Your Free Trial.,none-on-homepage,per month; monthly; per week,London,,2026-09-02T16:34:49Z
11,MuscleFood,https://www.musclefood.com/,Nottingham,England,Food delivery + transformation programmes,Yes,Yes (Goal Getters meal plan subscription),Programme progress tracking and before/after photos,Medium,"Runs transformation programmes where members already submit progress photos, which is the flow being upgraded rather than introduced",E-commerce economics; per-user pricing tolerance unknown,verified-live,https://www.musclefood.com/,200,Healthy Online Food Shop - UK Meal Delivery | MuscleFood,none-on-homepage,subscription; plan,United Kingdom; USA,,2026-09-02T16:34:49Z
12,The Protein Works,https://www.theproteinworks.com/,Runcorn,England,Sports nutrition e-commerce,No,Partial (repeat purchase),None,Low,UK geo passes but there is no member programme and no progress surface to embed into,use-case: no body-measurement moment in the customer journey,blocked:js-challenge,https://www.theproteinworks.com/,403,Just a moment...,,,,,2026-09-02T16:34:49Z
13,MyProtein,https://www.myprotein.com/,Manchester,England,Sports nutrition e-commerce,Yes (Myprotein app),Partial (subscribe and save),None on body composition,Low-Medium,"Large UK-HQ digital team under THG, but the relationship is transactional rather than a tracked programme",use-case: would need a new engagement surface built around the scan,verified-live,https://www.myprotein.com/,200,Fuel Your Ambition with the No.1 Online Sports Nutrition Brand | Myprotein UK,ios+android,,,,2026-09-02T16:34:49Z
14,Ritual,https://ritual.com/,Los Angeles,USA,Vitamin subscription DTC,Yes,Yes (monthly),None,Exclude,US-HQ and there is no body-measurement moment in a vitamin subscription,geo + use-case,verified-live,https://ritual.com/,200,Ritual,none-on-homepage,plan,United Kingdom; United States; USA,,2026-09-02T16:34:49Z
15,Care/of,https://takecareof.com/,New York,USA,Personalised vitamin subscription,Yes,Yes (monthly),None,Exclude,"Bayer took a majority stake in 2023 and the business wound down, so there is likely no operating company to approach",viability + geo + use-case,dead:dns-failure,https://takecareof.com/,dns-failure,,,,,,2026-09-02T16:34:49Z
16,Slimming World,https://www.slimmingworld.co.uk/,Alfreton,England,Group weight management,Yes (Slimming World app + online membership),Yes (weekly group or online),Weekly weigh-in is the core ritual of the product,High,"The weekly weigh-in is the whole retention loop, and a non-scale signal attaches to a behaviour that already exists at national scale",Consultant franchise network; central HQ owns the app,verified-live,https://www.slimmingworld.co.uk/,200,Welcome to Slimming World | Achieve your weight loss dreams | Slimming World,none-on-homepage,plan,,,2026-09-02T16:34:49Z
17,Noom UK,https://www.noom.com/,New York,USA,Behaviour-change weight app,Yes (iOS/Android),Yes (monthly),Self-reported weight and habit logging,Exclude,Named explicitly as an anti-case in the approved hypothesis because product decisions sit in New York,anti-case + geo: route to `nick` (USA),blocked:no-title-js-shell,https://www.noom.com/,200,,,,,,2026-09-02T16:34:49Z
18,WeightWatchers UK,https://www.weightwatchers.com/uk/,New York (US parent),USA,Weight management programme,Yes (WW app),Yes (monthly),Weekly weigh-in and app tracking,Exclude,"US-HQ decision-making, and the parent filed Chapter 11 in May 2025, while the UK clinical route already runs through CheqUp",anti-case + geo + viability,verified-live,https://www.weightwatchers.com/uk,200,Weight-Loss Program: Lose Weight. Gain Health | WeightWatchers,ios+android,monthly; per week; plan,United Kingdom,,2026-09-02T16:34:49Z
19,Anytime Fitness UK,https://www.anytimefitness.co.uk/,Woodbury MN (brand owner),USA,Franchised gym chain,Partial,Yes (monthly membership),Varies by franchisee,Low,"Franchise model with the brand owner in Minnesota, so there is no single UK product buyer and each club decides for itself",geo + no central UK buyer,blocked:no-title-js-shell,https://www.anytimefitness.com/en-gb,200,,,,,,2026-09-02T16:34:49Z
20,Snap Fitness UK,https://www.snapfitness.co.uk/,Minneapolis (brand owner),USA,Franchised gym chain,Partial,Yes (monthly membership),Varies by franchisee,Low,Same franchise structure under Lift Brands with no central UK product decision-maker,geo + no central UK buyer,verified-live,https://www.snapfitness.com/uk,200,Snap Fitness UK | 24/7 Gyms - Health Clubs - Fitness Centers,ios+android,a month; monthly; plan,,,2026-09-02T16:34:49Z
21,Origym,https://origympersonaltrainercourses.co.uk/,Liverpool,England,Personal trainer education,No,No (course fees),None,Low,"UK-HQ but they qualify trainers rather than run a member progress loop, which makes this a channel partnership at best",use-case: not a buyer for an embedded scan,verified-live,https://www.origym.co.uk/,200,Fitness Courses & Qualifications | OriGym,none-on-homepage,monthly; plan,England; London; Scotland; Wales,Company Number 09599908,2026-09-02T16:34:49Z
22,MyPossibleSelf,https://www.mypossibleself.com/,London,England,Mental health app,Yes (iOS/Android),Yes (subscription),Mood and habit tracking,Low,UK geo and app-first but the product has no body-measurement moment,use-case: mental health has no body data surface,verified-live,https://www.mypossibleself.com/,200,My Possible Self: The Mental Health App,ios+android,,London,,2026-09-02T16:34:49Z
23,Advanced Appetite,,Unknown,Unknown,Diet pill / gummy supplement brand,No,No,None,Exclude,"Affiliate-marketed supplement brand with no verifiable operating company, product team or LinkedIn presence to run a campaign against",viability: recommend removal from the list,unverified-no-website,,,,,,,,2026-09-02T16:34:50Z
24,PhenQ,https://phenq.com/,Glasgow,Scotland,Diet pill supplement brand,No,Partial (repeat purchase),None,Exclude,"Marketed by Wolfson Brands, which is Scotland-HQ and therefore outside the England filter, and the affiliate supplement model has no app or patient surface",anti-case (Scotland) + use-case,verified-live,https://phenq.com/,200,PhenQ Official Store: Weight Loss Treatment – PhenQ (USA),none-on-homepage,a month; subscription; per week; plan,United Kingdom; Scotland; United States; USA,,2026-09-02T16:34:50Z
25,Bupa Global,https://www.bupaglobal.com/,London,England,International private medical insurance,Partial,Yes (insurance premium),Health assessments,Route elsewhere,"A real 3DLOOK ICP under the health plans and insurance segments, but insurer-funded B2B2C is an explicit anti-case in this hypothesis with a different buyer and a different proof burden",anti-case: needs its own hypothesis,verified-live,https://www.bupaglobal.com/en,200,Premium international private healthcare | Bupa Global,none-on-homepage,plan,United Kingdom,registered address,2026-09-02T16:34:50Z
26,Aetna UK,https://www.aetnainternational.com/,Farnborough,England (US parent),International private medical insurance,Partial,Yes (insurance premium),Health assessments,Route elsewhere,Same insurer anti-case and the parent is CVS Health in the US so UK product authority is unclear,anti-case + geo: needs its own hypothesis,verified-live,https://www.aetnainternational.com/,200,Home | Aetna,none-on-homepage,plan,,,2026-09-02T16:34:50Z
