record_id,company_name,website,founded_year,hq_city,size,key_features,why_fit,source_url
AUFIT-01,"Eucalyptus Health (Juniper, Pilot, Compound, Kin)",https://www.eucalyptus.health,2019,"Sydney, NSW",400+ employees globally,"C3 wearable sync in the Juniper app (Apple, Fitbit, Garmin) covering activity, heart rate and blood glucose; C4 practitioner-led adaptive weight programs with unlimited follow-up consults; Bluetooth digital scale shipped with first delivery; manual weight and waist tracking with progress graphs; 550,000+ patients across brands, 100,000+ Juniper members in Australia","Tier A. Everything except body composition is already connected: wearables in, scale in, waist measured by hand. A 2-photo scan replaces the tape measure and turns waist and composition into a tracked series the clinical team can review.",https://www.eucalyptus.health/blog/wearables
AUFIT-02,Vively (Vively Health Pty Ltd),https://www.vively.com.au,2021,"North Sydney, NSW",not disclosed,"C3 wearable and platform sync (Apple Watch, Garmin, Fitbit, Google Fit); C4 personalised guidance and insights generated from the user's own data; 14-day CGM sensors with live glucose view; meal, movement, sleep and stress logging; 70+ blood markers and biological age; dietitian and nurse support; 30,000+ members",Tier A. Densest consumer data loop in Australia (glucose plus wearables plus food) with no body-composition input. Fat mass versus lean mass is the metric its metabolic-health story is missing.,https://www.vively.com.au/cgm-for-fitness
AUFIT-03,Everlab,https://www.everlab.com.au,2023,"Melbourne, VIC","not disclosed (180+ active clinicians, 1,850+ partner locations)","C3 30+ wearable device integrations; C4 AI-supported continuous care with personalised programs and longitudinal view; 100+ biomarkers, full-body MRI, bone density, CGM, VO2 max and genetic testing; consumer plans from $299 plus enterprise executive health (BCG, BHP, Bain); 20,000+ patients; AU$65M Series A in 2026","Tier A. Sells longitudinal body data as the product and already pays facility cost for clinical body composition (DEXA, bone density). A phone scan supplies between-visit composition tracking at near-zero marginal cost.",https://www.everlab.com.au/press/everlab-raises-au-65m-series-a-to-make-world-class-preventative-healthcare-something-everyone-can-access
AUFIT-04,Centr,https://centr.com,2019,"Melbourne, VIC (US private-equity owner; US workforce centralisation reported)","not disclosed (200,000+ subscribers reported at 2022 acquisition)","C3 Apple Health and Google Fit sync for workouts, meditations and mindful minutes; C4 Centr Coach personalised training plans across five goal tracks; nutritionist-approved meal plans with macros, shopping lists and dietary variants; connected equipment line","Tier A on features, flagged on geography. Multi-pillar app in the Erakulis shape (train, eat, recover) with a celebrity-led brand and no body measurement anywhere in the loop. Confirm the current head office before outreach.",https://centr.com/article/show/14143/apple-health-and-google-fit
AUFIT-05,Digital Wellness (CSIRO Total Wellbeing Diet Online),https://www.digitalwellness.com/au/,,"North Sydney, NSW","not disclosed (offices in Sydney, New York and London)","C3 activity tracking with smartwatch integration; C4 AI-inspired weight-loss coach (Hope) plus personalised higher-protein low-GI meal plans; online food tracker and weight tracker with real-time results; optional human health coaches; member community; 500,000+ people through the program since 2014","Tier A. Commercial licensee of the CSIRO program, so the target is the operator rather than the public research agency. Scale weight is the entire progress story today; composition separates fat loss from day-to-day weight noise.",https://www.digitalwellness.com/au/consumer/csiro-total-wellbeing-diet/
AUFIT-06,Hapana,https://www.hapana.com,2014,"Sydney, NSW","not disclosed (1,000+ fitness businesses served)","C3 wearable sync driving member rewards and milestones; C4 AI-powered tools funded by the 2026 Series A; white-label branded member app, multi-site and franchise management, marketing automation, reporting; brands include Fitstop, KX Pilates, Strong Pilates, VAURA, Gold's Gym and UFC Gym; 1M+ members across 10+ countries","Tier A and the widest-reach single integration on this list: one build would put a body scan inside the member apps of many Australian fitness brands at once, sold as a platform feature rather than app by app.",https://www.hapana.com/
AUFIT-07,AIA Australia (AIA Vitality),https://www.aia.com.au/en/health-and-wellbeing/aia-vitality,,"Melbourne, VIC",not disclosed,"C3 device and app links (Fitbit, Garmin, Apple Health, Google Fit, Strava, Polar, Suunto, Misfit) awarding points on steps, workouts, heart rate, mindful minutes and sleep; C4 personalised program with in-app and face-to-face health assessments plus a Vitality Age calculator; rewards, partner discounts and premium benefits",Tier A. Already pays members for verified activity data and runs recurring health assessments. Body composition is the assessment input it cannot collect remotely today.,https://www.aia.com.au/en/health-and-wellbeing/aia-vitality/devices-apps-troubleshooting
AUFIT-08,Perx Health,https://www.perxhealth.com,2016,"Sydney, NSW (head office now listed in New York)",approx. 25 employees across three continents,"C3 Apple Health support in the member app; C4 AI and behavioural-science algorithms that personalise engagement per member; gamified adherence with streaks, leaderboards and gift-card rewards, SMS and push reminders; sells to health plans, Managed Medicaid, government agencies and workers' compensation; HIPAA and SOC 2 Type 2 attested","Tier A on features and the strongest compliance posture in the set. A pure engagement engine with no body metric; a scan gives its payer customers an objective outcome measure alongside adherence. Flag: Sydney origin, New York head office.",https://www.perxhealth.com/post/perx-health-attains-soc-2-type-2-compliance
AUFIT-09,Catapult Sports (ASX: CAT),https://www.catapult.com,2006,"Melbourne, VIC",900+ staff across 30 countries,"C3 first-party wearables (VECTOR PRO, VECTOR CORE, CATAPULT ONE) plus PERCH weight-room sensing; C4 AI-supported performance, load and injury-risk analytics; video and tactical analysis, scouting tools; 5,500+ elite teams across 40+ sports in 128 countries",Tier A. Owns the athlete-monitoring data layer for elite and academy sport and has no body-composition input; a phone scan fits squads and pathway programs that cannot access DEXA.,https://www.catapult.com/company/about-catapult
AUFIT-10,dorsaVi (ASX: DVL),https://www.dorsavi.com,2008,"Melbourne, VIC",not disclosed,"C3 first-party medical-grade wearable sensors (ViMove+ movement sensors, ViSafe+ workplace sensors); C4 Video AI movement analysis from camera alone (running gait, upper and lower limb) plus a research algorithm library; clinical, elite sport and workplace safety customers","Tier A. Already sells objective human measurement from cameras and sensors, so a phone-camera body-composition module extends the same buyer conversation (clinicians, teams, employers) rather than starting a new one.",https://www.dorsavi.com/
